Num_ID	Leaf	Num_ID.x	Directory	Camalexin_Plate	HPLC_Plate_Position	HPLC_Plate	HPLC_Row	HPLC_column	Plate_Position	Plate_Cam	Exp_Tray.x	Geno	Surface.x	Iso	Treatment	Flavo	P3min	Camalexin	Num_ID.y	Genotype	IsoSur	Isolate	Surface.y	Image	Exp_Tray.y	Image_Num	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw	LEFcm	LEScm	LESPropcm	LEFYlwcm	LEFGrncm	Cam_LF	Cam_LP	Flavo_LF	P3_LF	P3_LP
1	T1-Col0-D-01_04_20	41	CC_FEB142019_CAM1-1DE-3601.D	Cam_P01	P1-D-05	P1	D	5	P1-D-05	Cam_P01-D-5	T1	Col0	D	01_04_20	Treatment	211.13747	0	40.22307	6	Col0	01_04_20-D	01_04_20	Down	T1_IMG_4138	T1	4138	2542.031726	233.2515863	73.69059841	0.659947441	0.114646174	3152	199	31.3724201	3.836694299	23.96953215	3152	19964	0.157884192	5172	10242	25	1285	2.509099318	0.396147117	1.98E-05	1.287226769	0.650023125	16.03087997	0.20212598	84.14870964	0	0
2	T1-Col0-D-02_04_04	85	CC_FEB142019_CAM1-1HA-0801.D	Cam_P01	P1-H-01	P1	H	1	P1-H-01	Cam_P01-H-1	T1	Col0	D	02_04_04	Treatment	203.42697	0	53.14668	2	Col0	02_04_04-D	02_04_04	Down	T1_IMG_4138	T1	4138	796.2519195	279.6275161	100.907005	0.79120236	-0.098511055	4819	251	39.15422027	7.209951419	26.60256949	4819	25100	0.191992032	3691	14428	116	2659	3.154597921	0.605657665	2.41E-05	1.813328239	0.46388928	16.84737052	0.211739761	64.48586321	0	0
3	T1-Col0-D-02_04_08	19	CC_FEB142019_CAM1-1BG-5001.D	Cam_P01	P1-B-07	P1	B	7	P1-B-07	Cam_P01-B-7	T1	Col0	D	02_04_08	Treatment	290.60331	0	128.50608	8	Col0	02_04_08-D	02_04_08	Down	T1_IMG_4138	T1	4138	3343.518888	301.4984802	77.72153752	0.856146934	0.055588396	2303	188	27.68930052	7.221201448	14.0940033	2303	15150	0.152013201	1798	8000	5	381	1.90407006	0.289443785	1.91E-05	1.005449536	0.225974783	67.4902057	0.683542979	152.622173	0	0
4	T1-Col0-D-Apple517	63	CC_FEB142019_CAM1-1FC-2201.D	Cam_P01	P1-F-03	P1	F	3	P1-F-03	Cam_P01-F-3	T1	Col0	D	Apple517	Treatment	220.61123	0	54.09721	4	Col0	Apple517-D	Apple517	Down	T1_IMG_4138	T1	4138	1639.553337	287.5990017	112.2638228	0.82573583	0.103616964	5409	276	41.83765298	9.212207709	22.91927407	5409	23445	0.230710173	3382	12986	419	3298	2.946595548	0.679809568	2.90E-05	1.63209596	0.425053792	18.35922478	0.196004384	74.86987149	0	0
5	T1-Col0-D-Grape	92	CC_FEB142019_CAM1-1HH-6401.D	Cam_P01	P1-H-08	P1	H	8	P1-H-08	Cam_P01-H-8	T1	Col0	D	Grape	Treatment	318.81333	0	30.82379	10	Col0	Grape-D	Grape	Down	T1_IMG_4138	T1	4138	4102.168762	297.1385862	92.11588815	0.8253456	0.035137941	3579	234	34.72709401	8.02073651	21.44651808	3579	19614	0.182471704	982	9919	20	1456	2.465110901	0.449812986	2.29E-05	1.246631744	0.123418931	12.50401756	0.131725598	129.3302179	0	0
6	T1-Col0-U-01_04_20	52	CC_FEB142019_CAM1-1ED-2901.D	Cam_P01	P1-E-04	P1	E	4	P1-E-04	Cam_P01-E-4	T1	Col0	U	01_04_20	Treatment	208.12673	0	53.33862	5	Col0	01_04_20-U	01_04_20	Up	T1_IMG_4138	T1	4138	2158.503406	254.5967302	50.65520616	0.661594271	-0.064410315	1468	135	21.2223214	2.941741403	15.41559967	1468	21431	0.068498903	12432	6874	80	783	2.693473627	0.18449999	8.61E-06	0.863932514	1.56246858	19.80291155	0.395100889	77.27075101	0	0
7	T1-Col0-U-02_04_04	1	CC_FEB142019_CAM1-1AA-0101.D	Cam_P01	P1-A-01	P1	A	1	P1-A-01	Cam_P01-A-1	T1	Col0	U	02_04_04	Treatment	300.63408	0	0	1	Col0	02_04_04-U	02_04_04	Up	T1_IMG_4138	T1	4138	395.2767574	286.2701077	99.2248887	0.904352637	0.18235191	3158	231	33.05751078	9.987475117	15.34752619	3158	17306	0.182480065	4341	8876	85	1221	2.17503871	0.396901205	2.29E-05	1.115546261	0.545582055	0	0	138.2201055	0	0
8	T1-Col0-U-02_04_08	30	CC_FEB142019_CAM1-1CF-4301.D	Cam_P01	P1-C-06	P1	C	6	P1-C-06	Cam_P01-C-6	T1	Col0	U	02_04_08	Treatment	172.78153	0	0	7	Col0	02_04_08-U	02_04_08	Up	T1_IMG_4138	T1	4138	2941.260844	291.232056	109.48944	0.832139969	0.098404446	5141	262	41.14708524	9.110363542	26.62781985	5141	15589	0.329783822	1953	6930	0	803	1.959244103	0.646127008	4.14E-05	0.870970661	0.245455368	0	0	88.18785252	0	0
9	T1-Col0-U-Apple517	74	CC_FEB142019_CAM1-1GB-1501.D	Cam_P01	P1-G-02	P1	G	2	P1-G-02	Cam_P01-G-2	T1	Col0	U	Apple517	Treatment	155.58432	0	58.63723	3	Col0	Apple517-U	Apple517	Up	T1_IMG_4138	T1	4138	1260.205385	225.9028511	68.94577041	0.850381755	0.106556189	1894	171	25.19574214	6.207843577	13.8060862	1894	16620	0.113959085	10761	3155	353	1063	2.088821412	0.238040178	1.43E-05	0.396524161	1.352455308	28.07192116	0.342907778	74.48426136	0	0
10	T1-Col0-U-Grape	8	CC_FEB142019_CAM1-1AH-5701.D	Cam_P01	P1-A-08	P1	A	8	P1-A-08	Cam_P01-A-8	T1	Col0	U	Grape	Treatment	183.70317	0	26.08987	9	Col0	Grape-U	Grape	Up	T1_IMG_4138	T1	4138	3725.82719	257.9602681	66.16412917	0.773232399	0.190968501	2089	167	25.89556982	5.158540741	15.79151023	2089	17926	0.116534642	6225	8601	4	275	2.252961049	0.26254801	1.46E-05	1.080983933	0.782365421	11.58025791	0.156226766	81.53854683	0	0
