Var	Df	SumSq	Perc	MeanSq	Fvalue	Pr(>F)
Isolate	15	14.203988	39.0886288	0.946932534	28.75167316	3.99E-50
Camalexin	1	5.714192489	15.72515754	5.714192489	173.499789	7.60E-32
Isolate*Camaalexin	14	1.985947139	5.465222197	0.141853367	4.307087889	5.40E-07
Indolic	1	1.121867575	3.08732063	1.121867575	34.06321855	1.33E-08
Surface	1	0.910471087	2.5055686	0.910471087	27.64459577	2.70E-07
Isolate*Surface	15	0.755304821	2.078559187	0.050353655	1.528885925	0.093288728
Isolate*Surface*Camalexin	14	0.647715466	1.782478934	0.04626539	1.404754126	0.148936005
Aliphatic	1	0.388294985	1.068567401	0.388294985	11.7897845	0.000675499
Surface*Camalexin	1	0.268573143	0.739099181	0.268573143	8.154675181	0.004581109
Residuals	314	10.34154826	28.45939753	0.032934867	NA	NA
