Num_ID	Cname	Isolate	Genotype	Plant	Plant_tray	Plant_position	Image	Exp_tray	Exp_image	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.0.s.radius.max	Lesion.red.m.cx	Lesion.red.m.cy	Lesion.red.m.majoraxis	Lesion.red.m.eccentricity	Lesion.red.m.theta	Lesion.grn.m.cx	Lesion.grn.m.cy	Lesion.grn.m.majoraxis	Lesion.grn.m.eccentricity	Lesion.grn.m.theta	Lesion.blu.m.cx	Lesion.blu.m.cy	Lesion.blu.m.majoraxis	Lesion.blu.m.eccentricity	Lesion.blu.m.theta	Lesion.redgrn.m.cx	Lesion.redgrn.m.cy	Lesion.redgrn.m.majoraxis	Lesion.redgrn.m.eccentricity	Lesion.redgrn.m.theta	Lesion.redblu.m.cx	Lesion.redblu.m.cy	Lesion.redblu.m.majoraxis	Lesion.redblu.m.eccentricity	Lesion.redblu.m.theta	Lesion.grnblu.m.cx	Lesion.grnblu.m.cy	Lesion.grnblu.m.majoraxis	Lesion.grnblu.m.eccentricity	Lesion.grnblu.m.theta	Lesion.Bred.m.cx	Lesion.Bred.m.cy	Lesion.Bred.m.majoraxis	Lesion.Bred.m.eccentricity	Lesion.Bred.m.theta	Lesion.Bgrn.m.cx	Lesion.Bgrn.m.cy	Lesion.Bgrn.m.majoraxis	Lesion.Bgrn.m.eccentricity	Lesion.Bgrn.m.theta	Lesion.Bblu.m.cx	Lesion.Bblu.m.cy	Lesion.Bblu.m.majoraxis	Lesion.Bblu.m.eccentricity	Lesion.Bblu.m.theta	Lesion.Bredgrn.m.cx	Lesion.Bredgrn.m.cy	Lesion.Bredgrn.m.majoraxis	Lesion.Bredgrn.m.eccentricity	Lesion.Bredgrn.m.theta	Lesion.Bredblu.m.cx	Lesion.Bredblu.m.cy	Lesion.Bredblu.m.majoraxis	Lesion.Bredblu.m.eccentricity	Lesion.Bredblu.m.theta	Lesion.Bgrnblu.m.cx	Lesion.Bgrnblu.m.cy	Lesion.Bgrnblu.m.majoraxis	Lesion.Bgrnblu.m.eccentricity	Lesion.Bgrnblu.m.theta	Leaf.0.m.cx	Leaf.0.m.cy	Leaf.0.m.majoraxis	Leaf.0.m.eccentricity	Leaf.0.m.theta	Leaf.0.s.area	Leaf.0.s.perimeter	Leaf.0.s.radius.mean	Leaf.0.s.radius.sd	Leaf.0.s.radius.min	Leaf.0.s.radius.max	Leaf.red.m.cx	Leaf.red.m.cy	Leaf.red.m.majoraxis	Leaf.red.m.eccentricity	Leaf.red.m.theta	Leaf.grn.m.cx	Leaf.grn.m.cy	Leaf.grn.m.majoraxis	Leaf.grn.m.eccentricity	Leaf.grn.m.theta	Leaf.blu.m.cx	Leaf.blu.m.cy	Leaf.blu.m.majoraxis	Leaf.blu.m.eccentricity	Leaf.blu.m.theta	Leaf.redgrn.m.cx	Leaf.redgrn.m.cy	Leaf.redgrn.m.majoraxis	Leaf.redgrn.m.eccentricity	Leaf.redgrn.m.theta	Leaf.redblu.m.cx	Leaf.redblu.m.cy	Leaf.redblu.m.majoraxis	Leaf.redblu.m.eccentricity	Leaf.redblu.m.theta	Leaf.grnblu.m.cx	Leaf.grnblu.m.cy	Leaf.grnblu.m.majoraxis	Leaf.grnblu.m.eccentricity	Leaf.grnblu.m.theta	Leaf.Bred.m.cx	Leaf.Bred.m.cy	Leaf.Bred.m.majoraxis	Leaf.Bred.m.eccentricity	Leaf.Bred.m.theta	Leaf.Bgrn.m.cx	Leaf.Bgrn.m.cy	Leaf.Bgrn.m.majoraxis	Leaf.Bgrn.m.eccentricity	Leaf.Bgrn.m.theta	Leaf.Bblu.m.cx	Leaf.Bblu.m.cy	Leaf.Bblu.m.majoraxis	Leaf.Bblu.m.eccentricity	Leaf.Bblu.m.theta	Leaf.Bredgrn.m.cx	Leaf.Bredgrn.m.cy	Leaf.Bredgrn.m.majoraxis	Leaf.Bredgrn.m.eccentricity	Leaf.Bredgrn.m.theta	Leaf.Bredblu.m.cx	Leaf.Bredblu.m.cy	Leaf.Bredblu.m.majoraxis	Leaf.Bredblu.m.eccentricity	Leaf.Bredblu.m.theta	Leaf.Bgrnblu.m.cx	Leaf.Bgrnblu.m.cy	Leaf.Bgrnblu.m.majoraxis	Leaf.Bgrnblu.m.eccentricity	Leaf.Bgrnblu.m.theta	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw
6	C1	01_01_01	Up	T3_D1	T3	D1	T2_IMG_6381_C.jpg	T2	IMG6381	2506.885246	239.8652664	63.71434783	0.781804316	0.313362788	1952	152	24.88672052	4.555112175	16.33190259	32.38371082	2506.681874	239.3931043	63.75460834	0.782723858	0.316698059	2506.908265	239.637403	66.08133193	0.787726414	0.318964195	2505.121217	238.6789108	61.13644961	0.773507961	0.294401539	2506.183887	237.3750797	69.99689979	0.809302229	0.321575815	2508.354956	239.832462	66.37883952	0.78558886	0.341882928	2509.669738	240.7510854	75.36852818	0.795644562	0.344461465	2506.724976	238.996566	63.81999027	0.781351172	0.340519358	2506.857292	239.3781915	67.29938864	0.784391938	0.345374887	2503.930763	237.6246982	59.38567529	0.777797343	0.30546757	2506.363964	235.3925248	72.44439987	0.821381682	0.420186153	2509.621348	239.3655063	68.52849506	0.769505178	0.437838176	2512.175788	241.589977	81.82963665	0.758984216	0.434337657	2497.424262	247.1066456	271.1313579	0.92863201	-0.005802216	20254	635	91.66483374	34.05187996	42.63783774	155.3426672	2502.387327	246.7577857	257.4750447	0.929955131	-0.019216164	2499.780527	247.9460508	257.7515784	0.926624163	-0.021502659	2496.387159	252.3384089	297.4263544	0.940035657	-0.013036916	2498.888507	246.2542713	228.1381295	0.935145746	-0.085576217	2535.023317	248.235516	113.6233837	0	-0.72528079	2504.008532	249.2060859	220.8526176	0.925837752	-0.095811997	2503.583831	246.6706493	257.6100925	0.93233481	-0.02368877	2501.305221	248.0571671	258.1293984	0.927053703	-0.022654811	2493.917329	253.8209629	303.469108	0.947097773	-0.004381498	2501.843172	244.8018042	246.2195508	0.961867244	-0.090967447	2540.973046	246.8421672	110.2238225	0	-0.761941617	2508.284815	248.4760918	224.7505858	0.937062584	-0.118099712	1952	20254	0.096376024	14878	2047	208	1175
29	C1	01_01_01	Up	T1_D3	T1	D3	T2_IMG_6381_C.jpg	T2	IMG6381	2557.357813	867.51125	70.35195756	0.541628295	0.053625587	3200	184	31.71985818	3.106589502	25.20004147	39.63980107	2557.898179	867.3442384	71.40536155	0.550337964	0.052758304	2557.558724	867.5695912	72.96875209	0.552701971	0.018243688	2557.3634	868.1808579	69.71698633	0.552405787	0.042886647	2559.45486	867.2987341	78.71205662	0.588549174	-0.025602283	2559.509675	865.2980557	75.01825988	0.536833427	0.135247839	2558.847126	865.578738	81.92613479	0.5563119	0.039445961	2558.007488	867.2181582	71.63757016	0.541405418	0.044339681	2557.559632	867.4928355	73.37071109	0.539049438	-0.013551465	2557.234755	867.4754278	69.76834731	0.557850082	0.073180457	2559.661259	866.6621492	80.1518019	0.551196803	-0.129974851	2560.4187	866.3426588	74.85776247	0.419162729	0.089025003	2559.787063	868.0512093	85.12864468	0.48159616	-0.231802165	2552.117247	869.1334114	241.3844942	0.915632524	0.151712011	17075	590	84.48373394	30.13726793	38.3951319	140.066678	2558.786599	869.4607905	234.5621459	0.921596453	0.139057036	2556.397098	869.8422731	237.1660573	0.919722168	0.139482449	2556.177518	875.1314362	249.4119775	0.9286198	0.109854186	2574.619486	871.6942412	217.1142959	0.934648411	0.098174423	2565.734886	866.6009191	217.0927925	0.921021386	0.117097432	2554.198581	865.9142229	230.2548917	0.915766552	0.137298913	2560.477283	869.1003285	236.6394384	0.924973699	0.133703511	2558.251205	869.5161574	239.5050994	0.922226785	0.13579125	2552.414273	876.6801117	241.5717215	0.929631917	0.113019152	2580.538223	871.0979137	222.7284547	0.947730974	0.071772645	2572.297217	865.4429885	228.2469947	0.934148201	0.096817178	2560.502269	864.6965189	241.0311254	0.926124211	0.120463123	3200	17075	0.187408492	9208	3544	230	2096
16	C1	01_01_01	Down	T3_D1	T3	D1	T2_IMG_6381_C.jpg	T2	IMG6381	2615.083824	632.1094771	95.90200288	0.475555222	-0.141316763	6120	280	43.60591057	4.972851979	30.64850764	51.50161876	2614.8129	631.9612723	100.0834656	0.517159257	-0.104821849	2614.741576	631.2479168	101.4985082	0.505388005	-0.080902316	2614.791325	626.5427504	101.6465611	0.571981234	-0.056441476	2612.645077	628.9615756	118.0352847	0.635543044	-0.014818558	2615.303158	653.4404167	92.60197327	0.960284376	-0.089999697	2614.456664	673.4539839	115.4094794	0	-0.011762343	2614.775508	631.2943988	100.3772103	0.497833119	-0.064577896	2614.777233	630.080594	101.9985179	0.498708025	0.009252107	2614.33561	624.563845	101.8872428	0.573045985	-0.025944517	2612.398104	624.198208	121.0890614	0.65337805	0.134180929	2619.50134	665.5457103	87.16038435	0	-0.16184564	2657.001435	826.1241362	143.8504525	0	-0.201513887	2608.00768	642.5127267	310.4993254	0.936490665	0.020876708	24869	753	104.8412024	39.05326338	53.3108	179.0435233	2611.496304	641.4079462	310.2251223	0.944447062	0.027282607	2609.792195	642.1390025	314.2764305	0.943296758	0.024874169	2612.657543	640.785089	324.3453147	0.936418173	0.010969253	2618.604804	638.9865927	328.1498595	0.960786677	0.030854421	2590.777695	649.4865778	287.9939566	0.967252239	0.067529822	2582.72858	651.8465665	292.2483606	0.961568763	0.087219893	2613.980646	641.214836	315.7278683	0.948795246	0.025027321	2611.936884	641.9660512	319.3009524	0.947073031	0.025081882	2609.786078	641.4550616	318.9514422	0.932918095	0.005151529	2626.954926	639.2137636	345.5351586	0.970876145	0.026733473	2602.143295	648.6386738	320.2289948	0.977634857	0.028427227	2592.509056	650.7747523	322.5942743	0.97105208	0.052608029	6120	24869	0.246089509	5890	10594	32	2891
40	C1	01_01_01	Down	T1_D3	T1	D3	T2_IMG_6381_C.jpg	T2	IMG6381	2600.068043	1064.193716	94.15198124	0.592344201	-0.377799503	5570	245	41.74796087	3.763286319	33.96298301	46.89905063	2599.710121	1064.737039	97.84592612	0.627091521	-0.338716331	2599.773292	1064.382193	98.23306413	0.615434876	-0.327379363	2599.176795	1063.426359	95.00973769	0.604859599	-0.30443743	2597.594294	1065.903612	114.2517468	0.706024187	-0.217258832	2605.971723	1076.437926	102.9466217	0.922814937	-0.777161101	2606.217109	1080.632635	109.5157515	0.984117494	-0.798855013	2599.562515	1063.53952	98.28657382	0.581164782	-0.393235883	2599.759894	1062.986319	98.66068857	0.561130725	-0.38585851	2599.010838	1062.890139	95.03355431	0.543515789	-0.350842768	2597.453538	1061.593266	115.5341277	0.56849239	-0.302443743	2616.413211	1084.890825	109.1642079	0	-0.762199942	2416.909235	842.5883571	0	0	-0.656551441	2619.139023	1067.295211	275.9478569	0.953326855	-0.132402068	14681	645	87.04176835	39.35141216	19.57719823	158.4348398	2618.590063	1068.521926	273.0906715	0.95436613	-0.134173409	2619.139268	1068.438357	277.5934297	0.955257554	-0.131056824	2626.886401	1064.27323	290.2142371	0.963430049	-0.117568988	2620.747871	1070.07549	295.3910312	0.966221286	-0.131095365	2568.87877	1091.445763	85.96345632	0	1.320309611	2558.144172	1092.783739	93.55520893	0	1.292668512	2622.329575	1068.661683	283.5693354	0.956759225	-0.135488493	2622.874473	1068.522654	288.5021644	0.957372146	-0.131124249	2632.467635	1062.006178	298.2499894	0.973029076	-0.105745768	2631.415459	1069.739933	319.0429118	0.970039341	-0.141511668	2552.362775	1098.703423	95.71884035	0	1.327464357	2540.811397	1099.800999	105.3725217	0	1.316674579	5570	14681	0.379401948	1676	6952	0	2470
4	C1	01_01_01	Up	T3_B6	T3	B6	T6_IMG_6387_C.jpg	T6	IMG6387	1601.696279	164.2255125	45.89844055	0.602166774	1.094085029	1317	118	20.13206686	1.734168033	17.05890104	23.2325605	1601.992044	164.7721487	47.25294596	0.603851417	1.09468439	1601.938711	165.3718803	48.56885017	0.61272139	1.081836561	1601.964498	164.7670475	46.28776986	0.595729383	1.205344756	1603.460053	170.7475589	48.79350937	0.608856329	0.864313312	1604.058685	167.6734562	53.11111535	0.573620385	1.080491413	1604.350485	174.1309513	58.84187173	0.575573388	0.589156925	1601.914758	164.7849812	48.44855318	0.581763434	1.077562467	1601.845672	165.3469456	51.07742763	0.592275286	1.067065757	1601.890614	163.1992373	46.25610542	0.538494726	1.262632773	1602.397144	170.7644475	59.13003293	0.652404871	0.718421415	1603.623095	169.2269735	60.2250381	0.498972961	0.915283445	1604.16503	178.5751366	79.37265227	0.609866427	0.404724041	1607.065293	176.7902787	244.4582811	0.938544489	-0.056604117	15821	545	79.24850015	28.32641162	40.11737018	130.5514546	1610.274942	177.497251	235.0783491	0.938306385	-0.068997846	1606.89868	178.7854981	237.0168471	0.938473771	-0.068782665	1615.837056	183.5862617	259.3380094	0.945923372	-0.089742204	1618.931447	180.2577899	189.9896838	0.917055021	-0.118365677	1709.94224	195.5593284	48.62868732	0	-1.355325893	1608.909877	182.9292591	215.3237644	0.959128754	-0.11969333	1610.578911	177.592022	233.270404	0.939036185	-0.074648994	1606.644677	179.0383029	236.4699736	0.937803326	-0.07295799	1622.229865	187.0562209	251.3227993	0.959307725	-0.136680208	1620.359955	180.9523537	188.2339982	0.963391203	-0.068086529	1913.596534	245.1036011	0	0	-1.353727412	1609.935254	184.3454293	206.2333782	0.976793913	-0.152615791	1317	15821	0.08324379	11819	2115	101	838
30	C1	01_01_01	Up	T2_B8	T2	B8	T6_IMG_6387_C.jpg	T6	IMG6387	1576.281328	641.9423559	49.60578175	0.547311512	1.199252473	1596	130	22.09879935	2.050946337	16.17233374	24.97518295	1576.71385	641.8174604	50.20702147	0.559188639	1.201751755	1576.663758	642.2375564	50.96192648	0.552284831	1.171284242	1577.596517	644.0254414	50.53077467	0.58453802	1.15839619	1578.43469	642.6211123	53.70408799	0.593999774	1.194177791	1576.308166	638.4905134	50.257407	0.489438967	1.165078827	1576.231575	639.7563585	53.66873537	0.470156231	1.074721215	1576.952845	641.9684153	51.72007032	0.603284374	1.196114931	1576.886921	642.2872091	52.59066542	0.569308462	1.142148154	1577.717354	644.1110227	53.36045578	0.653671458	1.112568679	1580.16108	643.8568463	62.82561088	0.751638802	1.196234347	1577.612154	638.0061694	54.01318134	0.551198495	1.144552371	1577.802435	639.0697658	58.8285097	0.370257318	0.666460446	1585.049995	644.8472933	289.9914679	0.959040413	-0.080063685	18362	635	89.52273238	35.73763434	40.27722228	152.1753635	1591.367278	644.2650077	280.2264761	0.9614757	-0.087095765	1588.075069	645.0917073	283.018002	0.961801834	-0.087829811	1591.709815	650.3559296	306.7351504	0.964765644	-0.101685788	1609.39476	642.8260369	238.9252085	0.970694649	-0.101122789	1614.448356	642.1187484	186.3461425	0.948562307	-0.196007633	1590.256764	643.5562532	254.9188681	0.960365332	-0.100133752	1591.592431	644.0940243	279.5599313	0.963018429	-0.089109044	1588.440831	644.8340808	283.7802996	0.96352283	-0.088921226	1589.283342	653.7205662	299.1008339	0.966030773	-0.106732829	1610.049581	642.7646352	237.598138	0.982033595	-0.098131292	1617.448039	642.617194	175.3205546	0.971057494	-0.230301471	1591.292524	642.7807316	254.4097098	0.967251765	-0.094424699	1596	18362	0.086918636	12944	2582	286	1152
14	C1	01_01_01	Down	T3_B6	T3	B6	T6_IMG_6387_C.jpg	T6	IMG6387	1607.785224	365.4031662	107.5189916	0.774734747	0.065599914	5685	265	42.47518769	7.266608035	29.4757676	53.14158845	1606.760386	366.1852606	110.0594612	0.78601831	0.066136642	1607.381912	366.3150376	111.0213593	0.778739128	0.089732592	1607.596164	361.4910341	112.0088806	0.798033873	0.06691718	1604.153974	369.2387454	122.3645767	0.804924218	0.119425198	1604.100959	378.2606773	101.0666871	0.912447718	0.083036837	1605.837335	385.0390332	106.5942291	0	0.120058352	1607.546346	367.4860021	110.7375198	0.769665059	0.03555224	1608.299589	367.6116778	111.3150248	0.751952222	0.057578282	1606.68729	358.783774	111.0805384	0.812328752	0.018853679	1607.571291	375.3694738	120.276491	0.758375546	-0.028822873	1606.504462	383.8025877	107.0026333	0	0.061091562	1609.65059	393.2630564	111.886282	0	0.045281604	1589.126136	360.9232305	229.8558754	0.928859759	0.041048592	14524	538	77.66724311	28.2598392	37.03919581	131.1369732	1586.36607	360.9602277	228.0842663	0.935216332	0.050698353	1586.150702	361.1494198	232.7329316	0.934865644	0.054123246	1593.592958	359.4194766	243.6526543	0.939122658	0.037956605	1577.186382	359.7454191	237.2369617	0.950806308	0.077893549	1562.725585	370.9905167	138.3391542	0.905864879	0.416569904	1548.453076	373.1738125	126.5172767	0	0.863041182	1587.077657	360.8122235	233.0323193	0.940907057	0.049162133	1586.819101	361.2843315	237.6936527	0.939384209	0.053555715	1594.230868	359.6013846	239.6647257	0.937154829	0.036832928	1579.388555	360.1414604	244.5487598	0.963328493	0.070428123	1560.644334	369.3981188	127.918784	0.909867214	0.481336905	1543.998876	371.5167527	112.8072098	0	1.061574986	5685	14524	0.391421096	1544	4151	127	1410
34	C1	01_01_01	Down	T2_B8	T2	B8	T6_IMG_6387_C.jpg	T6	IMG6387	1640.090276	838.6986938	69.97475143	0.280672714	-1.479451337	3445	203	32.9274725	4.558750949	25.05568842	40.9282002	1639.800292	839.3866232	71.50851682	0.250159615	-1.543811435	1639.57311	839.1149816	72.15166693	0.241755548	1.42270144	1639.835841	836.2959404	71.60524124	0.387537237	-0.221935217	1637.900157	840.9907255	80.13141327	0.348640856	0.708532925	1640.606765	868.8968962	40.22688293	0	0.141191514	1638.148205	914.304405	21.9288093	0	0.074268075	1639.620219	839.5786102	72.63462749	0.301690733	1.44672047	1639.36707	839.304698	73.87259624	0.336316541	1.345143229	1639.346213	836.6256081	72.02913407	0.394324686	-0.090913623	1636.198297	843.697721	88.29041606	0.627852624	0.995179008	1645.876879	860.4887429	77.16488417	0.992315603	-0.93069549	1650.525298	880.8894629	90.40082981	0	-0.565346721	1636.248014	847.4153962	264.1848622	0.936179199	-0.048359939	18628	596	87.00700816	30.80265232	41.70659694	144.2823619	1634.090468	847.6749508	259.6486663	0.93783294	-0.045849907	1634.708352	847.4909513	265.1982056	0.940055327	-0.042935351	1642.191364	844.8487312	270.6126347	0.940003698	-0.045376807	1628.968409	847.801886	260.3881927	0.945502259	-0.039330765	1594.552964	866.2311401	185.3532093	0.997676964	0.311829805	1587.492394	867.2531115	183.7349141	0	0.416700805	1633.908623	847.1006101	261.1400556	0.939411802	-0.042266959	1634.564739	846.980542	267.0179372	0.941119218	-0.039757527	1640.703359	845.0651244	264.8884054	0.937578726	-0.04157625	1628.424667	846.8001656	262.4347946	0.951431273	-0.030094092	1598.335659	863.5066493	204.2374508	0.967739015	0.197847969	1593.174491	863.5916645	210.2945904	0.973563711	0.239561506	3445	18628	0.184936654	2963	10098	25	1133
19	C10	01_02_04	Up	T2_B2	T2	B2	T4_IMG_6383_C.jpg	T4	IMG6383	2560.419048	314.6877551	46.43353403	0.484642574	-0.793133924	1470	126	21.24042019	1.395157718	18.41090919	24.16956612	2560.328568	314.7445139	47.25618127	0.504771421	-0.722013467	2560.088894	314.9318376	48.02038286	0.49899469	-0.763344711	2561.374544	314.5393608	46.43920497	0.461196169	-0.799153289	2559.080185	315.4120823	52.10276951	0.563956913	-0.61667401	2554.915327	316.6566677	46.10408489	0.579174233	-0.929412671	2553.40075	318.3260242	47.22436694	0.523924113	-1.143556587	2560.496598	314.6838273	47.791533	0.492376692	-0.65730652	2560.047924	314.8732071	49.46014056	0.494968518	-0.764283643	2561.673541	313.7078312	48.00933267	0.409245325	-1.063297726	2559.614612	314.8263893	56.63451938	0.537760375	-0.487766045	2479.382148	387.7036425	0	0	0.789511701	2597.635016	278.1176053	79.03799395	0	0.867822024	2557.278768	318.285091	232.8942361	0.923095342	0.05519988	15816	558	80.04000449	27.52116098	43.76506041	131.8546387	2560.443799	317.0122228	220.6866269	0.924285733	0.05061427	2558.781583	317.2956585	223.9709332	0.925519678	0.050565195	2567.209885	324.3008526	243.5560345	0.938407242	0.014925574	2564.39977	316.6014288	188.5803954	0.929325178	0.005192139	2557.505693	312.9014564	142.9148399	0.837828741	-0.046586501	2548.792037	313.2902861	188.2328117	0.897672567	0.03244913	2561.202089	316.4062744	219.908053	0.926721226	0.043219925	2559.23321	316.4544085	223.9046882	0.927354032	0.045379275	2570.170399	327.5292192	245.6920641	0.954129097	-0.013569784	2566.951249	316.5754771	190.7063485	0.949439063	-0.029596325	2560.420804	311.8522718	117.978562	0.83232976	-0.316322021	2549.457513	310.8400607	181.890953	0.89585043	-0.001802262	1470	15816	0.092943854	9972	2601	309	865
26	C10	01_02_04	Up	T1_B1	T1	B1	T4_IMG_6383_C.jpg	T4	IMG6383	2427.702861	786.1521456	52.69311051	0.692193106	0.437332389	1538	134	21.90300687	3.172992284	14.81289145	27.98540597	2427.526706	786.2389627	53.87042515	0.701965228	0.46341561	2427.222248	786.3244665	54.66560102	0.703194483	0.449731551	2428.632963	786.970818	51.69229449	0.689242179	0.420389671	2426.148498	786.6847382	58.50589896	0.739781733	0.525631302	2424.010779	784.006047	58.21945636	0.690200067	0.528862765	2422.474255	784.2569521	61.26933119	0.690101005	0.534727677	2427.503328	786.3346693	54.93863858	0.717735052	0.503815878	2426.951901	786.334261	56.11525688	0.716019739	0.476025546	2429.014038	787.0396876	51.84690753	0.70883898	0.483579371	2425.480034	786.9153302	64.28063548	0.813904386	0.624040614	2418.249954	782.0138175	58.36628808	0.555018131	0.867447685	2408.573119	779.2957373	60.90450694	0.910921902	-1.376012379	2422.32644	798.532205	229.802742	0.896502286	-0.089020628	17311	561	82.50846297	27.36581007	44.55768785	135.795126	2424.292606	797.6667834	225.6950332	0.907656815	-0.095158907	2422.400642	798.9820463	226.823548	0.906314371	-0.099857222	2433.371997	801.0245006	240.1126059	0.908436862	-0.12740662	2429.206543	796.6906044	214.783678	0.935329272	-0.115435727	2416.426809	795.9056541	201.0851411	0.904256729	-0.094122477	2410.907677	799.4820769	206.0931592	0.892964245	-0.090662801	2424.56377	797.0017847	228.3438326	0.913461696	-0.101297779	2422.289563	798.3986237	229.7862856	0.911500209	-0.105252581	2435.627216	802.3550551	233.4715877	0.903351924	-0.151745799	2432.296477	795.4286827	222.0042063	0.951112307	-0.137341073	2418.030363	794.0217075	205.7865054	0.919876802	-0.119584548	2411.165591	797.5561294	211.8204383	0.906943442	-0.109038252	1538	17311	0.088845243	10982	4000	15	1216
