"SpSurfIso" "Glob_ID" "Image" "Tray" "Phylum" "Family" "Species" "Surface" "Sp_Surface" "Order_Plot" "Isolate" "Lesion.0.m.cx" "Lesion.0.m.cy" "Lesion.0.m.majoraxis" "Lesion.0.m.eccentricity" "Lesion.0.m.theta" "Lesion.0.s.area" "Lesion.0.s.perimeter" "Lesion.0.s.radius.mean" "Lesion.0.s.radius.sd" "Lesion.0.s.radius.min" "Lesion.0.s.radius.max" "Lesion.red.m.cx" "Lesion.red.m.cy" "Lesion.red.m.majoraxis" "Lesion.red.m.eccentricity" "Lesion.red.m.theta" "Lesion.grn.m.cx" "Lesion.grn.m.cy" "Lesion.grn.m.majoraxis" "Lesion.grn.m.eccentricity" "Lesion.grn.m.theta" "Lesion.blu.m.cx" "Lesion.blu.m.cy" "Lesion.blu.m.majoraxis" "Lesion.blu.m.eccentricity" "Lesion.blu.m.theta" "Lesion.redgrn.m.cx" "Lesion.redgrn.m.cy" "Lesion.redgrn.m.majoraxis" "Lesion.redgrn.m.eccentricity" "Lesion.redgrn.m.theta" "Lesion.redblu.m.cx" "Lesion.redblu.m.cy" "Lesion.redblu.m.majoraxis" "Lesion.redblu.m.eccentricity" "Lesion.redblu.m.theta" "Lesion.grnblu.m.cx" "Lesion.grnblu.m.cy" "Lesion.grnblu.m.majoraxis" "Lesion.grnblu.m.eccentricity" "Lesion.grnblu.m.theta" "Lesion.Bred.m.cx" "Lesion.Bred.m.cy" "Lesion.Bred.m.majoraxis" "Lesion.Bred.m.eccentricity" "Lesion.Bred.m.theta" "Lesion.Bgrn.m.cx" "Lesion.Bgrn.m.cy" "Lesion.Bgrn.m.majoraxis" "Lesion.Bgrn.m.eccentricity" "Lesion.Bgrn.m.theta" "Lesion.Bblu.m.cx" "Lesion.Bblu.m.cy" "Lesion.Bblu.m.majoraxis" "Lesion.Bblu.m.eccentricity" "Lesion.Bblu.m.theta" "Lesion.Bredgrn.m.cx" "Lesion.Bredgrn.m.cy" "Lesion.Bredgrn.m.majoraxis" "Lesion.Bredgrn.m.eccentricity" "Lesion.Bredgrn.m.theta" "Lesion.Bredblu.m.cx" "Lesion.Bredblu.m.cy" "Lesion.Bredblu.m.majoraxis" "Lesion.Bredblu.m.eccentricity" "Lesion.Bredblu.m.theta" "Lesion.Bgrnblu.m.cx" "Lesion.Bgrnblu.m.cy" "Lesion.Bgrnblu.m.majoraxis" "Lesion.Bgrnblu.m.eccentricity" "Lesion.Bgrnblu.m.theta" "Leaf.0.m.cx" "Leaf.0.m.cy" "Leaf.0.m.majoraxis" "Leaf.0.m.eccentricity" "Leaf.0.m.theta" "Leaf.0.s.area" "Leaf.0.s.perimeter" "Leaf.0.s.radius.mean" "Leaf.0.s.radius.sd" "Leaf.0.s.radius.min" "Leaf.0.s.radius.max" "Leaf.red.m.cx" "Leaf.red.m.cy" "Leaf.red.m.majoraxis" "Leaf.red.m.eccentricity" "Leaf.red.m.theta" "Leaf.grn.m.cx" "Leaf.grn.m.cy" "Leaf.grn.m.majoraxis" "Leaf.grn.m.eccentricity" "Leaf.grn.m.theta" "Leaf.blu.m.cx" "Leaf.blu.m.cy" "Leaf.blu.m.majoraxis" "Leaf.blu.m.eccentricity" "Leaf.blu.m.theta" "Leaf.redgrn.m.cx" "Leaf.redgrn.m.cy" "Leaf.redgrn.m.majoraxis" "Leaf.redgrn.m.eccentricity" "Leaf.redgrn.m.theta" "Leaf.redblu.m.cx" "Leaf.redblu.m.cy" "Leaf.redblu.m.majoraxis" "Leaf.redblu.m.eccentricity" "Leaf.redblu.m.theta" "Leaf.grnblu.m.cx" "Leaf.grnblu.m.cy" "Leaf.grnblu.m.majoraxis" "Leaf.grnblu.m.eccentricity" "Leaf.grnblu.m.theta" "Leaf.Bred.m.cx" "Leaf.Bred.m.cy" "Leaf.Bred.m.majoraxis" "Leaf.Bred.m.eccentricity" "Leaf.Bred.m.theta" "Leaf.Bgrn.m.cx" "Leaf.Bgrn.m.cy" "Leaf.Bgrn.m.majoraxis" "Leaf.Bgrn.m.eccentricity" "Leaf.Bgrn.m.theta" "Leaf.Bblu.m.cx" "Leaf.Bblu.m.cy" "Leaf.Bblu.m.majoraxis" "Leaf.Bblu.m.eccentricity" "Leaf.Bblu.m.theta" "Leaf.Bredgrn.m.cx" "Leaf.Bredgrn.m.cy" "Leaf.Bredgrn.m.majoraxis" "Leaf.Bredgrn.m.eccentricity" "Leaf.Bredgrn.m.theta" "Leaf.Bredblu.m.cx" "Leaf.Bredblu.m.cy" "Leaf.Bredblu.m.majoraxis" "Leaf.Bredblu.m.eccentricity" "Leaf.Bredblu.m.theta" "Leaf.Bgrnblu.m.cx" "Leaf.Bgrnblu.m.cy" "Leaf.Bgrnblu.m.majoraxis" "Leaf.Bgrnblu.m.eccentricity" "Leaf.Bgrnblu.m.theta" "Lesion.Size" "Leaf.Size" "Lesion.Prop" "Leaf.Grn" "Leaf.Ylw" "Lesion.Grn" "Lesion.Ylw" "Pix_Cm" "Lesion_Cm2" "Lesion_mm2" "mean.sp" "median.sp" "sd.sp" "min.sp" "max.sp" "length.sp" "cv.sp" "median_logic" "threshold_logic" "TBC_param" "count_TBC"
"1" "Ara_Down_2.04.12" 1793 "T4_IMG_6383_C.jpg" 6383 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "2.04.12" 1125.377052 1667.234355 172.526062 0.813243415 0.055562688 13343 440 67.26096301 14.02390294 48.48706295 97.02815806 1124.890972 1665.697185 180.8507531 0.827031548 0.058007624 1124.732329 1665.342096 180.2915249 0.826652134 0.069282392 1126.532556 1664.942186 175.6078313 0.825216894 0.123130452 1121.716402 1658.436111 209.2751937 0.876388015 0.077921075 1021.30239 1921.512772 0 0 0.276657713 1163.826889 1600.400421 279.434446 0 0.543499463 1124.114496 1665.882623 181.3441157 0.815402981 0.070528996 1123.786368 1665.377941 180.7743952 0.817190081 0.083524103 1124.20254 1663.315101 178.5669359 0.836882378 0.146950657 1117.250121 1658.191192 209.6412035 0.850951794 0.127146313 901.4148342 1270.145088 0 0 -0.440394608 1089.863527 1607.927705 212.2467178 0 0.099255936 1131.307756 1665.177654 240.0104603 0.886021412 0.003101775 20630 569 86.69535198 24.76686731 52.71915296 134.1158961 1129.517104 1664.517699 244.9770394 0.896161133 -0.002438307 1129.595364 1664.110652 245.774535 0.895549741 7.6e-05 1134.073471 1664.075529 236.2586349 0.8802658 0.027670401 1124.134842 1660.180452 267.7553176 0.922107351 -0.027387792 1031.353199 1718.771637 190.9165692 0 0.628198711 234.0659097 2012.090933 0 0 1.191245719 1129.083542 1664.747371 249.609286 0.902598012 -0.005223436 1129.294209 1664.198143 250.5770258 0.902217149 -0.003104292 1134.58115 1664.133195 232.6970325 0.876452272 0.021346727 1124.232233 1661.116713 279.6806143 0.935606227 -0.030789624 1027.579884 1713.904133 208.8641862 0 0.641659409 640.1523644 1842.786062 140.3095701 0 1.192190302 13343 20630 0.646776539 596 4421 67 3980 89.53 1.664624633 166.4624633 138.317419675 133.08388875 20.1289801002299 120.6394379 166.4624633 4 0.145527440777353 TRUE FALSE "TRUEFALSE" 5
"2" "Ara_Down_2.04.12" 1794 "T4_IMG_6383_C.jpg" 6383 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "2.04.12" 1106.070878 2091.956458 154.6415497 0.834397636 -0.284985247 10243 362 57.81426094 12.4842185 32.68548 79.76372738 1104.990371 2090.367371 159.807616 0.837103046 -0.297759192 1104.3674 2089.608842 159.4792396 0.835736134 -0.280991052 1108.145141 2088.854685 146.4224206 0.824904747 -0.243203354 1095.251774 2077.902048 182.7725718 0.905658814 -0.378157739 1095.462085 2090.530889 194.041509 0.869449957 -0.347688277 1046.337509 2049.727662 236.2424432 0 -0.622199967 1104.051697 2091.316241 158.300162 0.813003173 -0.312619556 1102.774305 2090.657505 157.2645491 0.808885824 -0.290745832 1106.910671 2087.952116 142.9141259 0.819938741 -0.204307292 1078.774691 2075.540421 151.8709327 0.924151766 -0.687524182 1095.786111 2094.38447 194.7367219 0.831105622 -0.425029601 1051.933955 2078.79897 200.4223823 0 -0.931872526 1104.502511 2090.614927 244.9861326 0.91632521 -0.282204023 18316 563 84.78471203 27.80989968 39.04704668 135.9410282 1101.198814 2089.940595 256.712695 0.929612861 -0.293514091 1101.721718 2088.687272 257.6261526 0.928654915 -0.292306081 1110.275285 2087.0582 236.0285353 0.911471453 -0.279476496 1088.619639 2086.091731 302.4810964 0.9630803 -0.356096193 1082.54641 2095.408343 293.2705555 0.955764257 -0.280200253 1071.052467 2086.44997 320.5665454 0.975890803 -0.30678909 1099.622269 2090.584708 264.949301 0.934711816 -0.285957766 1100.290451 2089.041097 266.2863939 0.934046837 -0.28771521 1110.076449 2087.570149 233.022488 0.915202909 -0.290291776 1088.616058 2085.96337 316.347189 0.971147915 -0.336363573 1076.331443 2098.166642 302.9212076 0.961351966 -0.257896265 1064.662881 2091.87896 326.514585 0.975047895 -0.288224779 10243 18316 0.559237825 372 3773 0 1666 89.53 1.277879796 127.7879796 138.317419675 133.08388875 20.1289801002299 120.6394379 166.4624633 4 0.145527440777353 TRUE FALSE "TRUEFALSE" 5
"3" "Ara_Down_2.04.12" 1797 "T9_IMG_6391_C.jpg" 6391 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "2.04.12" 359.0003102 447.726577 145.9594948 0.811971215 0.166726126 9670 360 56.23214664 10.85089593 39.10464406 75.3132043 358.1917773 446.8364833 152.4217618 0.819351481 0.19491367 357.7946957 446.1583866 153.9311435 0.82336938 0.205183823 357.3001666 445.0520367 150.8820421 0.81483413 0.29943971 350.0873291 439.0135817 179.2089785 0.867986868 0.281765131 360.6953833 454.0054763 177.426451 0.913991235 -0.058419519 360.8749899 461.0712503 284.6730751 0.997329108 -0.036772596 359.0683173 448.1701669 152.1772577 0.807180929 0.228083409 358.4146462 447.214195 154.1501243 0.816655392 0.24792482 357.1139336 443.8538011 151.1082815 0.820612965 0.33744181 354.4512894 444.6974697 188.9386326 0.886892493 0.481605101 361.3358105 455.9050417 176.2749929 0.897432907 -0.039761 361.9430063 459.6591376 252.6451198 0.959975994 0.028844105 365.1618473 440.7525506 235.2082628 0.916385582 0.123202867 16565 561 82.20070805 27.78636415 44.73442004 135.7210915 359.3012957 439.0900912 233.0045119 0.913029428 0.130699138 360.4385249 438.4128611 236.7857205 0.916003755 0.130198537 362.0080871 437.1186504 243.4772724 0.920923225 0.169752126 337.1801133 428.1872633 224.4648537 0.91125457 0.100960744 362.6581744 457.6438871 261.4296605 0 -0.086668425 375.0476185 473.1530812 371.9800308 0 -0.135351414 358.8944352 438.8370797 232.3830542 0.908496329 0.128627054 360.6588446 438.0985036 236.9599033 0.913218403 0.128023864 361.3542277 436.3950034 240.1289957 0.925703462 0.175749626 337.56972 428.1532151 224.3293556 0.910571013 0.081347308 352.3881653 454.5472605 255.4581414 0.970127393 -0.072181485 356.9180536 463.5419308 348.0208896 0 -0.096414089 9670 16565 0.583760942 1110 4419 200 2304 89.53 1.206394379 120.6394379 138.317419675 133.08388875 20.1289801002299 120.6394379 166.4624633 4 0.145527440777353 TRUE FALSE "TRUEFALSE" 5
"4" "Ara_Down_2.04.12" 1798 "T9_IMG_6391_C.jpg" 6391 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "2.04.12" 343.3762171 857.8310494 158.3714564 0.819385975 -0.202983606 11092 392 60.93080343 12.74182803 38.34013126 87.11197551 340.5851282 856.5842295 165.6365517 0.833100659 -0.199574484 340.897677 856.0485908 166.0289991 0.832646099 -0.191109287 343.8099541 855.2128618 159.4557548 0.824618401 -0.108065911 327.5548279 850.8851701 185.2060094 0.873816976 -0.222538664 328.63277 868.3411643 197.7069355 0.941064962 -0.4298682 307.4740069 873.9053278 235.7806838 0.993467942 -0.45185885 340.7384046 857.3562888 166.0123839 0.825668439 -0.202526607 340.45651 856.7126624 165.8203675 0.824944246 -0.195921517 342.9903449 853.2977272 159.9056914 0.843123173 -0.101031508 325.1602758 855.5974805 183.322774 0.828245202 -0.217745424 331.8807543 869.7115787 193.7199439 0.912229873 -0.420664624 317.1207499 873.2583716 216.5866304 0.927055528 -0.436361494 341.8445085 855.9312974 283.2323184 0.920192792 -0.22725505 23609 690 98.41222532 33.97659242 49.36268175 163.7664177 337.3186231 854.9436824 284.4015586 0.923817533 -0.226584063 339.1579865 854.1324843 289.2254595 0.924879941 -0.225305579 345.3336013 854.7352491 274.7954781 0.905582837 -0.193795113 324.6659285 850.2745964 293.9846482 0.93511847 -0.248801213 310.542206 870.4233698 330.4998643 0.978243227 -0.3039016 307.1793802 869.636776 371.3140244 0.985200577 -0.305501345 338.4368741 854.0795716 287.0395896 0.924526328 -0.220462773 340.4622089 853.183238 291.9853994 0.924896469 -0.219519266 346.593403 854.5162431 269.4029646 0.89867682 -0.194405477 330.6251951 848.020562 303.7789458 0.938394914 -0.223673053 309.2409485 869.2622094 327.728934 0.980456014 -0.297828063 305.6113729 867.5161164 365.5650241 0.984337368 -0.305782675 11092 23609 0.469820831 2368 7699 65 3548 89.53 1.383797979 138.3797979 138.317419675 133.08388875 20.1289801002299 120.6394379 166.4624633 4 0.145527440777353 TRUE FALSE "TRUEFALSE" 5
"5" "Ara_Down_A517" 1799 "T1_IMG_6380_C.jpg" 6380 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "A517" 2645.935055 1524.838737 139.7474819 0.78001427 0.109760822 9562 333 55.25191898 9.427890919 40.60182866 73.40766764 2646.647762 1524.874825 144.1078638 0.786418991 0.11002986 2646.649268 1524.521513 143.742221 0.784158936 0.115759921 2647.174482 1523.430209 142.2244353 0.785344724 0.123874441 2649.846815 1523.646693 160.2576975 0.805768659 0.117680287 2669.560069 1498.406755 173.3197677 0 0.422518872 2667.126971 1504.404172 166.4105437 0 0.390732769 2646.792649 1523.741842 143.5635866 0.7643237 0.085436782 2647.025924 1522.989958 142.9132457 0.7637277 0.098970342 2646.977335 1521.890876 143.6172141 0.787090129 0.10230006 2650.552859 1518.002482 156.229319 0.751918683 0.036028708 2661.068242 1488.083653 175.708252 0 0.194739327 2659.148885 1496.041345 168.9211329 0 0.153724823 2661.964045 1526.557019 257.2995122 0.925146314 -0.017605407 15714 646 85.34637431 35.28587568 20.20064131 144.5109002 2661.031178 1526.39797 253.4789801 0.923849449 -0.001318059 2661.229886 1526.259992 256.5935254 0.924693557 -0.001847588 2665.074642 1526.014923 259.6797973 0.924520184 -0.009428496 2661.710363 1525.310233 259.746686 0.92993013 0.046211481 2693.748439 1510.10543 218.8779424 0 0.492493324 2692.48448 1513.816541 207.8817453 0 0.476809211 2662.298736 1525.315912 258.3962538 0.926069057 -0.006674723 2662.152449 1525.10464 261.7859122 0.926601971 -0.006714346 2666.038404 1525.406827 256.0468762 0.922797552 -0.005571515 2667.369951 1522.109459 274.4316584 0.936931104 0.015679313 2691.539723 1504.870494 192.2116416 0 0.653030168 2692.306095 1508.066776 182.0587997 0 0.679118457 9562 15714 0.608501973 622 3839 0 3511 89.53 1.192920688 119.2920688 78.777428205 75.390291975 31.8188735847448 45.03706007 119.2920688 4 0.403908509198137 TRUE FALSE "TRUEFALSE" 5
"6" "Ara_Down_A517" 1800 "T1_IMG_6380_C.jpg" 6380 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "A517" 2710.113153 2044.091304 111.9302828 0.707214197 0.204697926 6911 286 46.72761896 6.122498713 35.88890033 56.72328137 2709.348046 2044.794887 117.0393747 0.72781114 0.189373607 2709.647343 2044.271305 118.1246461 0.731590631 0.183932708 2708.755256 2042.551465 114.9368949 0.743880476 0.12121845 2704.783565 2045.054888 147.5560007 0.815686656 0.142748609 2711.109225 2052.049478 119.5403922 0.700759623 0.363749395 2711.38442 2053.523396 135.1140735 0.726298028 0.361462079 2709.678341 2044.194964 117.2665183 0.705466308 0.194597585 2710.024124 2043.582888 118.2099212 0.710209817 0.170994544 2708.923254 2043.214763 115.313781 0.7500359 0.089484996 2707.974483 2042.986736 153.5516466 0.771526287 0.122465636 2710.940148 2049.438121 126.367761 0.698130493 0.601873606 2710.072317 2047.299819 147.1210733 0.69559302 0.618085655 2711.959046 2047.888533 261.0217592 0.939512543 0.044359078 16848 647 89.1281694 36.96559021 36.14267024 159.0999138 2710.160263 2047.622809 258.1409872 0.941945243 0.052857176 2710.055553 2047.153275 265.9126875 0.944959653 0.05395553 2711.556476 2045.338989 264.1985168 0.944902544 0.052579056 2696.442924 2046.526178 270.5327667 0.951872799 0.061849747 2711.637802 2053.53844 253.4571704 0.941327425 0.036862962 2709.435738 2051.753469 287.5816989 0.953493624 0.044961743 2711.785515 2047.41439 260.2311784 0.943931075 0.053200305 2711.148328 2046.599647 267.7574808 0.945963185 0.056013646 2708.457785 2045.424527 252.3894997 0.94471855 0.0375278 2700.014459 2045.171655 275.6565981 0.957530487 0.051468454 2717.343942 2052.619199 263.1214777 0.950149833 0.029256249 2713.762311 2049.243134 296.3135487 0.957675841 0.049130572 6911 16848 0.410197056 1681 6798 0 1271 89.53 0.862191474 86.21914742 78.777428205 75.390291975 31.8188735847448 45.03706007 119.2920688 4 0.403908509198137 TRUE FALSE "TRUEFALSE" 5
"7" "Ara_Down_A517" 1805 "T10_IMG_6392_C.jpg" 6392 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "A517" 2275.80715 395.3874396 97.34572571 0.700010905 0.172328871 5175 249 40.45717261 5.97294031 30.36476709 52.03361406 2274.902059 395.8418253 100.8279438 0.713808073 0.162507059 2274.821499 395.5640947 102.5851245 0.717928752 0.19239057 2273.874581 394.3838433 101.2707011 0.730453642 0.236488914 2268.018366 397.189435 125.8729615 0.798435883 0.234547372 2276.314205 400.2615274 99.53116988 0.664619454 -0.113191775 2275.123827 401.610261 115.072359 0.594153218 0.063789472 2275.166027 395.5549872 101.0535927 0.69906373 0.162101519 2274.905462 395.058277 102.8182273 0.700987068 0.217860926 2274.175256 395.0178546 102.135616 0.742140703 0.261673043 2269.010155 395.1349457 134.9365898 0.757491612 0.270793933 2277.338992 398.1567636 100.7773776 0.612845454 -0.329033766 2277.336769 395.2542673 113.9009488 0.170148138 0.318832985 2281.371141 405.0096315 230.4489483 0.899055884 -0.028860435 16716 550 80.00851561 26.16239082 35.73930114 130.558226 2278.345285 404.7932355 232.097596 0.909880756 -0.029113126 2279.382181 405.3407325 236.3388254 0.910969852 -0.029529313 2286.601867 403.4706278 249.545674 0.91471472 -0.032961736 2266.625868 404.8846082 249.6002076 0.940514746 -0.025627447 2255.188354 412.5967212 167.7167756 0.84645368 0.162622881 2253.756084 415.4961141 181.5793321 0.87389242 0.205429826 2278.359159 404.2584816 234.0932562 0.91417247 -0.034257742 2279.071964 404.9687437 238.5175956 0.914808693 -0.033107825 2286.366385 404.3279585 243.1188677 0.905645409 -0.023524581 2267.234497 403.9109044 252.2219676 0.949802574 -0.037082728 2256.204939 410.8619301 175.8196089 0.864045545 0.085539997 2253.931018 413.559055 189.6609017 0.883728634 0.136176929 5175 16716 0.309583632 3097 7017 0 1786 89.53 0.645614365 64.56143653 78.777428205 75.390291975 31.8188735847448 45.03706007 119.2920688 4 0.403908509198137 TRUE FALSE "TRUEFALSE" 5
"8" "Ara_Down_A517" 1806 "T10_IMG_6392_C.jpg" 6392 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "A517" 2258.010526 844.4783934 96.84918967 0.86065639 0.415668289 3610 217 34.62508955 8.670679706 16.4349268 48.13241048 2258.541072 844.4982448 99.13630098 0.865674355 0.423768111 2258.845125 844.5370324 101.0616091 0.868034402 0.415972204 2259.866942 844.742998 100.9195471 0.877558275 0.46002794 2261.793182 845.1798076 114.9058132 0.885561769 0.445689073 2249.964148 843.2151081 77.40262743 0.786329556 -0.05721928 2248.604858 842.4343963 87.86723333 0.845653692 -0.187139582 2258.480799 845.0197473 99.96975035 0.85990757 0.419768371 2258.823202 845.1851883 102.5482535 0.863377003 0.398951091 2262.109798 845.0529128 104.4401284 0.902698208 0.481317852 2263.089058 849.2848538 119.782161 0.862419904 0.390065384 2238.746226 838.5685956 69.30925089 0 -0.936098783 2227.688472 834.3430596 85.97363834 0 -0.987237651 2273.836111 840.1794312 226.9838514 0.917046269 0.374501168 15120 554 79.59860112 28.36195065 41.3295508 134.1334873 2274.215123 838.5339468 224.0306327 0.922192707 0.367324825 2275.155412 838.5417086 226.4303966 0.921995328 0.37138885 2274.824233 841.7261027 235.3825328 0.921956951 0.382608654 2273.898456 832.9036437 228.2207817 0.941255351 0.3513895 2268.519856 837.4957789 177.2522431 0.909568774 0.112690759 2268.526988 834.8206734 179.7184764 0.893975912 0.119401054 2274.913972 837.9498975 223.521338 0.922390257 0.359249177 2276.23018 837.9868721 227.1966087 0.92266746 0.363994312 2276.64987 842.9489459 241.4140445 0.927278519 0.37337733 2278.117672 832.4921028 233.6188413 0.95011242 0.326343643 2254.79014 828.1555648 104.046718 0 -0.917432549 2253.092567 823.0120617 110.5701588 0 -0.955651062 3610 15120 0.238756614 3721 6190 80 1125 89.53 0.450370601 45.03706007 78.777428205 75.390291975 31.8188735847448 45.03706007 119.2920688 4 0.403908509198137 TRUE FALSE "TRUEFALSE" 5
"9" "Ara_Down_B05.10" 1865 "T4_IMG_6383_C.jpg" 6383 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "B05.10" 3534.314893 1635.979025 90.18379914 0.797444078 -0.128261733 3814 220 35.1283911 6.664081436 24.9835359 48.80866887 3534.039276 1635.565924 92.5335613 0.80468779 -0.11471594 3534.689907 1635.542744 93.6131039 0.804465226 -0.109652219 3536.525586 1633.317577 92.47085323 0.822389258 -0.032931351 3534.491486 1633.887209 102.3507988 0.823883223 -0.065312736 3516.043871 1656.614119 41.3395706 0 0.418837266 3507.507012 1670.110981 29.65867845 0 0.560856205 3533.84883 1636.653073 91.80355575 0.773184028 -0.133449497 3534.720592 1636.696873 93.04242312 0.771718429 -0.12654707 3537.233754 1632.464115 94.24392272 0.846910078 0.026768225 3534.471538 1637.468007 100.9515877 0.731235264 -0.106761586 3513.354389 1660.975051 0 0 0.652719797 3504.210242 1675.316241 0 0 0.687241595 3553.539454 1623.937388 315.7796501 0.956748854 0.033048043 21785 714 100.2311887 40.50712204 43.18499168 175.1423977 3553.065267 1624.046737 306.4618156 0.958096314 0.030721934 3552.494135 1623.407899 310.2961991 0.957709233 0.03507586 3563.234597 1624.110821 291.3649878 0.952115565 0.024762476 3551.554441 1623.106049 284.3978882 0.958714889 0.028082744 3522.452195 1630.80139 366.2805035 0.969694697 0.039143941 3514.817916 1626.284179 365.3098401 0.963191029 0.054938048 3553.912577 1624.31967 310.7638268 0.960068074 0.03001223 3553.017277 1623.541374 315.1599818 0.958996664 0.034970653 3564.17408 1625.227451 267.351456 0.950497461 0.007130557 3553.657453 1623.806716 296.2287743 0.964648015 0.025516287 3523.307379 1628.254864 366.2426995 0.964538659 0.031833716 3515.241373 1622.980293 360.2237074 0.954390158 0.042707962 3814 21785 0.175074593 4051 12989 0 1044 89.53 0.475820906 47.58209062 44.72205017 51.66162487 21.0015170133915 14.35946154 61.2054894 4 0.469600944803722 TRUE FALSE "TRUEFALSE" 5
"10" "Ara_Down_B05.10" 1869 "T8_IMG_6390_C.jpg" 6390 "Rosids" "Brassicales" "Ara" "Down" "Ara_Down" "Rosids_Brassicales_Ara_Down" "B05.10" 3615.423563 1659.23991 99.18379799 0.769524301 -0.19468252 4906 235 39.51973761 6.500322066 30.02311136 52.28701461 3615.369461 1659.236939 101.849189 0.787798368 -0.189357453 3615.481082 1659.007124 102.1533111 0.784997223 -0.175092717 3615.392347 1658.501523 100.6775653 0.809388018 -0.132864235 3615.177463 1658.713466 112.8223098 0.839039503 -0.144644729 3611.920616 1650.204026 119.6452591 0 0.100700723 3613.698118 1652.075991 119.0067858 0 0.089379451 3615.209674 1658.748832 101.9191436 0.778176145 -0.185360921 3615.328271 1658.599671 102.090304 0.772811996 -0.164948561 3614.803324 1657.596102 98.87212384 0.789286439 -0.097782846 3614.416759 1657.363465 113.2336363 0.81304602 -0.11058541 3608.780159 1652.855944 113.1273758 0 0.201915568 3610.32168 1652.521951 110.3297354 0 0.194089772 3616.033707 1652.432969 257.6978668 0.905914201 -0.021555764 20886 628 91.24429994 31.10159648 48.2462792 150.6359648 3619.631439 1654.46887 257.8556529 0.919848338 -0.047806848 3619.169619 1654.125981 259.2398367 0.919797422 -0.045650579 3617.699234 1652.071373 260.487883 0.912264503 -0.003085578 3627.683272 1658.607275 262.5920206 0.960170013 -0.119623021 3573.643298 1680.353515 255.3282006 0.850159908 -0.011322281 3569.246867 1667.719766 221.4927572 0.746749696 -0.102102093 3620.833888 1654.719446 260.934461 0.924186389 -0.048960427 3620.399583 1654.402293 262.3054954 0.924010509 -0.047337688 3617.033311 1651.936417 257.7366684 0.909654736 0.00645008 3632.398146 1658.909565 269.8678707 0.968275083 -0.112243774 3583.873057 1677.538963 305.6967226 0.905832837 -0.13492194 3577.239567 1666.428815 270.175274 0.857512606 -0.181869477 4906 20886 0.234894187 2354 10279 43 2015 89.53 0.612054894 61.2054894 44.72205017 51.66162487 21.0015170133915 14.35946154 61.2054894 4 0.469600944803722 TRUE FALSE "TRUEFALSE" 5
