Species_Full	species_plot	Surface	N_stomata	Surface_real
Vigna_unguicula	15_Cp	top	12	Adaxial
Vigna_unguicula	15_Cp	top	12	Adaxial
Vigna_unguicula	15_Cp	top	20	Adaxial
Vigna_unguicula	15_Cp	top	20	Adaxial
Vigna_unguicula	15_Cp	bottom	20	Abaxial
Vigna_unguicula	15_Cp	bottom	21	Abaxial
Vigna_unguicula	15_Cp	bottom	35	Abaxial
Vigna_unguicula	15_Cp	bottom	44	Abaxial
Lactuca_sativa	05_Lac	top	10	Adaxial
Lactuca_sativa	05_Lac	top	11	Adaxial
Lactuca_sativa	05_Lac	top	9	Adaxial
Lactuca_sativa	05_Lac	top	5	Adaxial
Lactuca_sativa	05_Lac	top	4	Adaxial
Lactuca_sativa	05_Lac	top	3	Adaxial
Lactuca_sativa	05_Lac	bottom	24	Abaxial
Lactuca_sativa	05_Lac	bottom	27	Abaxial
Lactuca_sativa	05_Lac	bottom	19	Abaxial
Lactuca_sativa	05_Lac	bottom	12	Abaxial
Lactuca_sativa	05_Lac	bottom	10	Abaxial
Lactuca_sativa	05_Lac	bottom	8	Abaxial
Capsicum_annuum	10_Pep	top	20	Adaxial
Capsicum_annuum	10_Pep	top	21	Adaxial
Capsicum_annuum	10_Pep	top	23	Adaxial
Capsicum_annuum	10_Pep	top	24	Adaxial
Capsicum_annuum	10_Pep	top	25	Adaxial
Capsicum_annuum	10_Pep	bottom	54	Abaxial
Capsicum_annuum	10_Pep	bottom	63	Abaxial
Capsicum_annuum	10_Pep	bottom	62	Abaxial
Capsicum_annuum	10_Pep	bottom	67	Abaxial
Capsicum_annuum	10_Pep	bottom	64	Abaxial
Cichorium_intybus	04_Cin	top	7	Adaxial
Cichorium_intybus	04_Cin	top	9	Adaxial
Cichorium_intybus	04_Cin	top	5	Adaxial
Cichorium_intybus	04_Cin	top	14	Adaxial
Cichorium_intybus	04_Cin	top	11	Adaxial
Cichorium_intybus	04_Cin	top	12	Adaxial
Cichorium_intybus	04_Cin	bottom	32	Abaxial
Cichorium_intybus	04_Cin	bottom	24	Abaxial
Cichorium_intybus	04_Cin	bottom	31	Abaxial
Cichorium_intybus	04_Cin	bottom	15	Abaxial
