Num_ID	Isolate	Genotype	Surf	Surface	Tray	Time	GenoS	Category	Image	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.0.s.radius.max	Lesion.red.m.cx	Lesion.red.m.cy	Lesion.red.m.majoraxis	Lesion.red.m.eccentricity	Lesion.red.m.theta	Lesion.grn.m.cx	Lesion.grn.m.cy	Lesion.grn.m.majoraxis	Lesion.grn.m.eccentricity	Lesion.grn.m.theta	Lesion.blu.m.cx	Lesion.blu.m.cy	Lesion.blu.m.majoraxis	Lesion.blu.m.eccentricity	Lesion.blu.m.theta	Lesion.redgrn.m.cx	Lesion.redgrn.m.cy	Lesion.redgrn.m.majoraxis	Lesion.redgrn.m.eccentricity	Lesion.redgrn.m.theta	Lesion.redblu.m.cx	Lesion.redblu.m.cy	Lesion.redblu.m.majoraxis	Lesion.redblu.m.eccentricity	Lesion.redblu.m.theta	Lesion.grnblu.m.cx	Lesion.grnblu.m.cy	Lesion.grnblu.m.majoraxis	Lesion.grnblu.m.eccentricity	Lesion.grnblu.m.theta	Lesion.Bred.m.cx	Lesion.Bred.m.cy	Lesion.Bred.m.majoraxis	Lesion.Bred.m.eccentricity	Lesion.Bred.m.theta	Lesion.Bgrn.m.cx	Lesion.Bgrn.m.cy	Lesion.Bgrn.m.majoraxis	Lesion.Bgrn.m.eccentricity	Lesion.Bgrn.m.theta	Lesion.Bblu.m.cx	Lesion.Bblu.m.cy	Lesion.Bblu.m.majoraxis	Lesion.Bblu.m.eccentricity	Lesion.Bblu.m.theta	Lesion.Bredgrn.m.cx	Lesion.Bredgrn.m.cy	Lesion.Bredgrn.m.majoraxis	Lesion.Bredgrn.m.eccentricity	Lesion.Bredgrn.m.theta	Lesion.Bredblu.m.cx	Lesion.Bredblu.m.cy	Lesion.Bredblu.m.majoraxis	Lesion.Bredblu.m.eccentricity	Lesion.Bredblu.m.theta	Lesion.Bgrnblu.m.cx	Lesion.Bgrnblu.m.cy	Lesion.Bgrnblu.m.majoraxis	Lesion.Bgrnblu.m.eccentricity	Lesion.Bgrnblu.m.theta	Leaf.0.m.cx	Leaf.0.m.cy	Leaf.0.m.majoraxis	Leaf.0.m.eccentricity	Leaf.0.m.theta	Leaf.0.s.area	Leaf.0.s.perimeter	Leaf.0.s.radius.mean	Leaf.0.s.radius.sd	Leaf.0.s.radius.min	Leaf.0.s.radius.max	Leaf.red.m.cx	Leaf.red.m.cy	Leaf.red.m.majoraxis	Leaf.red.m.eccentricity	Leaf.red.m.theta	Leaf.grn.m.cx	Leaf.grn.m.cy	Leaf.grn.m.majoraxis	Leaf.grn.m.eccentricity	Leaf.grn.m.theta	Leaf.blu.m.cx	Leaf.blu.m.cy	Leaf.blu.m.majoraxis	Leaf.blu.m.eccentricity	Leaf.blu.m.theta	Leaf.redgrn.m.cx	Leaf.redgrn.m.cy	Leaf.redgrn.m.majoraxis	Leaf.redgrn.m.eccentricity	Leaf.redgrn.m.theta	Leaf.redblu.m.cx	Leaf.redblu.m.cy	Leaf.redblu.m.majoraxis	Leaf.redblu.m.eccentricity	Leaf.redblu.m.theta	Leaf.grnblu.m.cx	Leaf.grnblu.m.cy	Leaf.grnblu.m.majoraxis	Leaf.grnblu.m.eccentricity	Leaf.grnblu.m.theta	Leaf.Bred.m.cx	Leaf.Bred.m.cy	Leaf.Bred.m.majoraxis	Leaf.Bred.m.eccentricity	Leaf.Bred.m.theta	Leaf.Bgrn.m.cx	Leaf.Bgrn.m.cy	Leaf.Bgrn.m.majoraxis	Leaf.Bgrn.m.eccentricity	Leaf.Bgrn.m.theta	Leaf.Bblu.m.cx	Leaf.Bblu.m.cy	Leaf.Bblu.m.majoraxis	Leaf.Bblu.m.eccentricity	Leaf.Bblu.m.theta	Leaf.Bredgrn.m.cx	Leaf.Bredgrn.m.cy	Leaf.Bredgrn.m.majoraxis	Leaf.Bredgrn.m.eccentricity	Leaf.Bredgrn.m.theta	Leaf.Bredblu.m.cx	Leaf.Bredblu.m.cy	Leaf.Bredblu.m.majoraxis	Leaf.Bredblu.m.eccentricity	Leaf.Bredblu.m.theta	Leaf.Bgrnblu.m.cx	Leaf.Bgrnblu.m.cy	Leaf.Bgrnblu.m.majoraxis	Leaf.Bgrnblu.m.eccentricity	Leaf.Bgrnblu.m.theta	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw
70	1.03.04	An055	U	Adaxial	T1	H72	An055_U	Signalling_JA	1375	390.8142292	1528.302372	27.1621602	0.486638078	-0.317899558	506	71	12.2417739	0.680233057	10.93837674	13.37909557	390.7213521	1528.37454	27.02653022	0.443097548	-0.251516575	390.5995203	1528.362171	27.61557839	0.437592447	-0.259502935	390.4710416	1528.284392	27.10971108	0.361803858	-0.189177595	389.1911081	1529.908181	34.24307036	0.376756386	1.096741608	389.9681894	1529.044885	29.1623597	0.600575441	0.701474621	393.7898554	1528.052525	18.58714325	0	-0.660225635	390.6388683	1527.741761	27.33534947	0.264331755	0.195227623	390.1665257	1527.584325	29.17535707	0.219067098	0.377873989	389.9968213	1526.740989	30.16661696	0.332116212	0.975084906	375.1160261	1507.709204	51.0239278	0	-0.750860624	390.8356197	1521.236067	33.57783909	0.811848835	0.698460137	394.5266524	1532.591364	7.319339925	0	-0.507872905	398.5249808	1549.711122	254.7087466	0.918418622	0.161310454	19555	654	87.08730756	28.8571005	46.2907292	140.3007248	402.5775955	1550.585998	253.1215246	0.925726344	0.159976481	401.1323497	1550.4275	253.1710425	0.924117105	0.158313383	410.7621662	1553.476608	257.8675476	0.926980709	0.158804693	405.8262999	1548.861246	280.0971547	0.918845514	0.194066852	352.7039146	1539.251709	206.1962858	0.703010227	0.161773103	-508.6121117	1289.0845	555.9546016	0	-1.296964374	404.2207349	1550.931534	246.72059	0.92980543	0.154412228	402.4129682	1550.679579	249.3187208	0.926979142	0.152910349	416.4890791	1556.714207	222.1086241	0.934812338	0.148978105	375.0030552	1543.719288	252.4388087	0.86617626	0.306891687	349.5722824	1536.143203	194.0412899	0.640670518	0.021939062	250.6260557	1501.723578	239.4651425	0	-1.294286888	506	19555	0.025875735	16185	2592	0	213
80	1.03.04	An055	D	Abaxial	T1	H72	An055_D	Signalling_JA	1375	397.3965517	1891.780172	38.80220689	0.610918059	-0.157060652	928	98	16.79411742	1.676763299	13.9742169	19.86518756	397.3000987	1891.976099	39.29437859	0.611534176	-0.136896306	396.9928047	1892.038084	39.81880611	0.613425157	-0.125245632	396.5072808	1892.088355	40.05659615	0.60700583	-0.073395686	392.4139356	1895.382396	45.06704006	0.701138169	0.483781912	403.9893802	1890.742607	29.96008978	0.815032403	-0.855694663	396.2734022	1890.031171	21.22057843	0.959736172	1.129773711	396.8548301	1892.679851	39.46556087	0.583741427	-0.062582628	396.1640849	1892.843695	40.21951988	0.579657304	0.008493184	395.350803	1892.931317	41.28983374	0.526643967	0.14083976	613.4723907	1648.29813	0	0	0.719985001	498.8571483	1848.253065	0	0	1.167477998	396.4661273	1891.883869	30.81952393	0.789586114	1.406778688	401.8644429	1880.008162	245.972913	0.908737185	0.410834884	19726	551	83.84094868	24.48912071	44.8627477	125.2885167	403.3071275	1881.305755	240.1422802	0.912315475	0.403574293	403.2637793	1880.490065	242.5744699	0.911679326	0.407886903	405.7591825	1882.478463	239.5597728	0.912422622	0.390640955	415.4751396	1881.494067	212.6696546	0.910521582	0.40822912	404.1171477	1894.859363	212.4651813	0.993672507	0.277379405	401.7826355	1883.336171	231.368896	0.937264818	0.401484018	404.1701819	1881.728205	240.1361504	0.91325511	0.393318718	404.1162735	1880.578054	243.2343736	0.911674368	0.400240632	407.3432099	1883.819727	232.6146919	0.923072435	0.35088772	410.4624328	1884.528855	209.4833156	0.963980339	0.473470218	415.8129418	1909.93309	192.6590459	0	-0.042428026	412.0527916	1887.775242	216.280173	0.986228706	0.229153387	928	19726	0.04704451	3306	15160	0	29
69	2.04.17	An055	U	Adaxial	T1	H72	An055_U	Signalling_JA	1375	769.409312	1505.658791	48.18033578	0.61001169	-1.442767586	1439	122	20.96752906	1.960795518	16.99401937	24.54924738	769.5368059	1506.509114	48.49829689	0.607019915	-1.47310354	769.7578355	1506.592294	50.04116604	0.628460647	-1.475285509	770.2485484	1506.748275	51.72686138	0.68266653	-1.434679251	769.1567126	1514.143358	49.83004263	0.760665976	-1.316943561	799.9379914	1578.473423	76.33693305	0	-0.359850446	764.8037565	1502.010597	29.89876385	0	-0.685644478	769.9282322	1506.724634	49.75008121	0.645228096	-1.541461936	770.1700025	1506.990115	52.61810437	0.679581207	-1.523520867	770.7546835	1508.665264	53.27820063	0.693571405	-1.455097003	775.5740976	1521.156724	66.08610384	0	-1.215741509	756.5601402	1496.027572	44.57484545	0	-0.866091237	764.7608592	1502.707636	30.36316996	0	-0.511544313	782.6079788	1531.166688	212.8385124	0.893786117	0.200554923	15466	523	74.58762871	22.12272287	41.25121507	115.4208578	784.4319444	1531.492853	212.1014906	0.903152591	0.206714639	783.933439	1532.010918	213.2597672	0.902903805	0.199448968	790.5174574	1531.19503	215.9923126	0.90089646	0.215682181	800.6562522	1534.941061	208.2628459	0.948193916	0.199501242	861.9632917	1530.620103	0	0	1.383543923	786.766197	1539.098531	198.2758497	0.980467946	0.164077319	784.6822828	1531.449911	205.605539	0.900215729	0.215573155	784.2251708	1532.075451	209.1122111	0.900713903	0.204176096	793.8679926	1529.20628	189.8750281	0.896166694	0.272470687	790.0474738	1532.3166	205.7490304	0.950807232	0.234772908	421.6180994	1547.194484	376.6542807	0	1.55081867	797.9507193	1539.942632	200.1625798	0	0.133487494	1439	15466	0.093042804	10079	3561	74	779
79	2.04.17	An055	D	Abaxial	T1	H72	An055_D	Signalling_JA	1375	764.1840054	1793.286344	69.54282756	0.62018331	-0.283050778	2951	175	30.40796216	3.146213853	25.15642556	37.50504771	765.215933	1792.336029	70.42795457	0.63582598	-0.223461336	765.1045801	1792.291225	71.2203478	0.638124268	-0.222425983	765.964246	1791.260241	71.38930008	0.656871054	-0.178748277	774.9262793	1783.911418	81.15542025	0.883604446	0.094783191	759.4758079	1799.846679	70.97596835	0	0.900408065	761.1597756	1796.913101	67.98336611	0.939098317	-0.700299098	765.6903434	1792.258351	69.86689703	0.658576805	-0.148996879	765.4669482	1792.118284	70.74384177	0.667171997	-0.137411258	766.3375773	1791.228839	72.50894657	0.706843109	-0.116302408	853.3482557	1752.010326	0	0	0.987240558	754.8750688	1789.541519	207.5592697	0	-0.585209246	759.357297	1797.57239	81.40865833	0.887382767	-0.751013054	784.4508486	1779.963553	274.010663	0.936775456	0.052015563	20386	621	88.15413086	30.43165579	38.88225253	140.3577621	783.84918	1780.417478	271.4081682	0.941330182	0.053297995	784.8764898	1779.782675	274.0178562	0.940948886	0.055910676	784.4202696	1781.453487	268.307834	0.942591137	0.056117312	784.3730926	1778.934442	264.9899028	0.958693167	0.081871892	784.3374785	1785.915995	302.1139887	0.969414069	0.016164959	791.7225171	1777.474023	314.5452801	0.962978799	0.052865356	782.7992886	1780.440169	272.5818199	0.942712124	0.047424196	783.9976057	1779.688138	275.0524597	0.941289389	0.051616584	783.3541371	1782.232271	257.6496474	0.951567012	0.044390655	787.1941068	1779.64823	256.0224085	0.976150681	0.11340217	776.3056071	1792.280418	294.5864314	0.99939451	-0.007837583	784.3199644	1779.962324	309.0447849	0.973937977	0.014291033	2951	20386	0.144756205	2861	13750	0	108
68	A517	An055	U	Adaxial	T1	H72	An055_U	Signalling_JA	1375	1207.872745	1475.20992	55.78781513	0.574116351	-0.06484106	1996	145	24.76977045	1.979002421	21.2848648	28.7907544	1207.936014	1475.886817	56.28661931	0.581996532	-0.085831073	1207.88261	1476.031837	57.29544199	0.583566342	-0.080236667	1207.904086	1476.734494	57.19043833	0.603176908	-0.034552445	1208.234401	1485.063031	63.97185113	0.775858669	-0.216954775	1207.866536	1474.422944	59.16893815	0.706167521	-0.195748887	1213.198243	1443.971369	0	0	0.660511532	1208.143093	1475.999459	56.80232277	0.572346396	-0.136333954	1207.940261	1476.299467	58.02458896	0.569578681	-0.10200129	1207.68637	1477.148385	58.96362445	0.59889035	-0.026706117	1210.893045	1489.635176	72.0816497	0.86009922	-0.473548372	1214.237752	1463.1673	46.63035608	0	-0.082906362	1207.288868	1473.415773	34.10084684	0	1.425811784	1226.206122	1495.319767	261.7396522	0.926319069	0.075930187	20124	598	85.76054099	27.84231214	46.89669298	132.97208	1227.555731	1495.12574	256.8134809	0.931337948	0.076620051	1227.325741	1495.657161	259.7349392	0.9307409	0.073474469	1231.515774	1494.87681	257.6657926	0.934536645	0.072846122	1234.468272	1494.602321	236.4086856	0.937493287	0.069707684	3799.311874	1157.307874	0	0	1.443613142	1234.629572	1500.218408	243.0217775	0.986777606	0.030195592	1229.117445	1494.661422	255.7137622	0.934013591	0.078530443	1228.528447	1495.366396	259.7747789	0.931817726	0.074237208	1235.598105	1493.401636	240.0401485	0.955571031	0.079292586	1221.883653	1500.433617	250.498017	0.951018897	0.079106196	1179.97553	1506.680814	322.63369	0.777781842	0.25254604	1252.74106	1499.835455	171.4518358	0	-0.023052604	1996	20124	0.099185053	14779	3349	0	1275
73	A517	An055	D	Abaxial	T1	H72	An055_D	Signalling_JA	1375	1192.618138	1696.125298	58.96032808	0.78373755	0.210668673	1676	140	23.05153309	4.086486677	16.97052968	31.36807327	1193.351336	1696.825078	59.63711505	0.794110564	0.187566337	1193.201139	1696.727223	60.95621029	0.797491665	0.188023032	1194.043097	1697.659884	60.59868738	0.796235036	0.154489723	1201.412627	1701.568755	68.1935753	0.872876931	-0.071376628	1188.852888	1695.295843	48.63745902	0.904008877	0.046270963	1195.497479	1692.735459	38.65903764	0	1.266942803	1193.997553	1696.928377	58.42988322	0.774999776	0.179834677	1193.809598	1696.818951	60.26594275	0.774623669	0.175184205	1195.5601	1699.238066	61.16227362	0.812712696	0.046104896	1088.111428	1634.907059	0	0	-1.074601277	1169.197852	1679.655899	0	0	-1.163650098	1198.721225	1696.348232	58.91191307	0.961965967	0.188060876	1199.855885	1720.051068	235.5105564	0.909074902	-0.14669165	17604	649	80.43569409	24.29678876	42.14236998	119.7550054	1200.067418	1720.294704	233.2319627	0.911780833	-0.144625157	1200.258796	1720.564266	235.0310042	0.913004945	-0.146210902	1202.826969	1720.29072	233.2967941	0.907480644	-0.146625215	1207.400894	1720.032245	229.0949009	0.930252047	-0.141247955	1186.470911	1721.32811	211.3813745	0.927774314	-0.157395244	1188.98508	1723.775881	226.7040011	0.94029914	-0.1532221	1201.100702	1720.621398	229.517734	0.912820089	-0.144876911	1201.688397	1720.676358	232.1874367	0.913383882	-0.148774818	1205.723399	1721.040585	218.100783	0.904208351	-0.151237678	1224.705569	1718.447247	133.171472	0.803928374	-0.242792846	1173.862938	1722.779891	248.6176108	0.946940039	-0.133831734	1171.402112	1726.102892	258.5854878	0.958325624	-0.123758969	1676	17604	0.095205635	2275	13230	2	588
66	KernB1	An055	U	Adaxial	T1	H72	An055_U	Signalling_JA	1375	1583.989937	1455.893082	50.59731393	0.597435342	-0.484308767	1590	133	22.11487311	2.240790748	17.87555046	26.70954822	1584.040176	1456.449236	50.51968712	0.59053981	-0.48579018	1584.100793	1456.649749	51.29673956	0.596556139	-0.477539144	1584.326418	1456.757012	51.1979642	0.618576166	-0.474800683	1584.410717	1463.246979	51.58268753	0.6874725	-0.270506634	1583.311027	1458.195633	49.10912361	0.403224782	-0.600000931	1556.383681	1336.266359	0	0	-0.218340391	1584.196456	1456.878448	49.24560086	0.545034483	-0.530757923	1584.24901	1457.224703	50.28521583	0.55295502	-0.490905947	1584.475939	1456.219171	52.51284133	0.588933935	-0.576233206	1594.572072	1480.244282	0	0	-0.585493065	1585.990873	1428.652486	116.8261337	0	-0.191627998	1582.792744	1447.730761	55.18251754	0	-0.375484804	1592.480958	1474.975388	259.980973	0.916733647	-0.003856165	21006	602	87.8330267	27.14851758	48.83838496	135.7096586	1594.279844	1474.300563	254.112356	0.919674661	-0.001282403	1593.656355	1474.954994	257.0219386	0.919673037	-0.003010136	1598.959978	1474.42841	259.0017048	0.928613299	-0.006724719	1599.336852	1470.202655	217.793524	0.915124242	0.020266536	1711.245407	1429.636218	0	0	1.230211414	1599.50326	1474.684076	226.320088	0.942459585	0.02430653	1595.402025	1473.464744	254.6587697	0.921038135	-0.002460841	1594.614278	1474.326433	258.361162	0.920145675	-0.004855179	1601.902762	1472.960325	245.9384275	0.950115986	-0.007446234	1591.10097	1481.872049	194.2134821	0.965240218	0.076762579	1418.398992	1564.947519	389.5283467	0	0.941089521	1609.226109	1468.765526	195.9796791	0	0.030245231	1590	21006	0.075692659	15818	3594	1	1017
76	KernB1	An055	D	Abaxial	T1	H72	An055_D	Signalling_JA	1375	1604.732244	1725.122437	83.3828548	0.758387842	0.085828052	3365	210	32.87374527	6.463697769	19.75563469	44.25025539	1604.093936	1725.771126	85.50698674	0.775545873	0.107223365	1604.142014	1725.851756	85.61556266	0.774648995	0.103407119	1604.91613	1726.437006	85.06603947	0.781019107	0.080321622	1601.04145	1729.029066	97.4950453	0.834442654	0.17565197	1590.34352	1721.016913	71.47000837	0.762575368	0.580685978	1744.979148	1703.934093	0	0	1.487916309	1603.581591	1726.088956	85.26978059	0.781671002	0.161904864	1603.554711	1726.465917	85.18577963	0.783345882	0.162043672	1604.99258	1728.637138	85.79607946	0.824355328	0.109130411	1599.080211	1733.480213	95.58171568	0.923763045	0.421603759	1558.61823	1702.596221	0	0	-1.180763236	1642.907668	1719.653664	80.32957689	0	-1.461393883	1611.660086	1732.978082	280.4480791	0.95076111	0.194924984	18843	611	86.2088731	32.51494743	36.68336512	141.1159285	1612.548704	1733.428149	275.2991728	0.953530073	0.193895045	1612.624047	1733.441855	279.8437324	0.95379319	0.194178157	1615.232338	1732.842839	270.2219619	0.951514815	0.194942948	1618.571082	1734.002102	250.3928914	0.960250484	0.18448196	1610.389177	1737.508381	295.1482456	0.972584946	0.197998813	1608.569173	1737.066002	321.8871229	0.972716724	0.204853992	1612.233614	1733.185404	276.2515081	0.956369022	0.195013141	1612.227437	1733.214107	281.2054139	0.955626609	0.194628374	1615.448467	1731.879329	258.0506107	0.960181821	0.195221678	1620.451561	1734.636197	249.1089255	0.967393302	0.168342722	1614.12027	1740.518698	288.6308341	0	0.210946059	1608.782963	1738.68894	323.0226132	0.990811146	0.221104511	3365	18843	0.178580905	2662	11273	0	224
63	KT	An055	U	Adaxial	T1	H72	An055_U	Signalling_JA	1375	2017.038744	1421.465742	64.94047471	0.653868991	0.117455813	2452	169	27.63384351	3.608067235	18.69334911	34.89447998	2017.23025	1422.128959	65.06740126	0.656350377	0.106384393	2016.977751	1421.975141	66.23440634	0.65902618	0.106993397	2018.399059	1421.866172	63.66263315	0.592887866	0.091588482	2016.118624	1427.200656	73.15769191	0.571156972	-0.046920859	2013.960742	1427.766988	71.43100647	0.935156672	0.007716723	2027.215407	1413.482934	33.06503452	0	1.205254727	2016.682509	1421.746	66.35473368	0.665638132	0.089045985	2016.636672	1421.571379	67.2761919	0.660347468	0.095345972	2018.925057	1422.876614	63.45664803	0.564281866	0.003543706	1965.055211	1414.288138	114.294792	0	-1.320373682	2003.287351	1426.026225	77.01331526	0	0.092337248	2024.055924	1418.649111	46.46903576	0	1.386339918	2019.449083	1444.576305	231.5537396	0.904609465	-0.075543005	17607	550	79.58570639	23.95951778	42.45744962	123.8506525	2021.71191	1443.869405	227.1262698	0.909007475	-0.075233172	2020.907958	1444.872763	230.8792316	0.910865029	-0.075461163	2023.569669	1441.538645	222.4366118	0.898627754	-0.067669289	2036.389507	1440.592992	222.935808	0.919998469	-0.080655774	1840.24041	1505.735099	263.8720868	0	1.189930197	2035.146168	1448.762621	214.0305243	0.983025737	-0.08704654	2023.616216	1443.40886	229.0575565	0.914734619	-0.07166157	2022.53437	1444.563502	233.4968999	0.915127389	-0.072652064	2025.827948	1438.435782	201.0969479	0.905376131	-0.037956129	2011.355002	1448.173159	189.7036427	0.862289523	-0.153234882	1953.583885	1469.333058	223.8078666	0.850810918	0.607049851	2061.318668	1443.85246	110.7305048	0	-0.029051779	2452	17607	0.139262793	13300	1424	24	1206
74	KT	An055	D	Abaxial	T1	H72	An055_D	Signalling_JA	1375	2008.528782	1697.914993	56.93658634	0.801152379	0.026891527	1494	133	21.6766797	4.331990151	14.24946132	29.11221105	2008.519358	1698.439889	59.02357439	0.817847426	0.024677938	2008.632875	1698.51332	59.66783195	0.819330261	0.022624446	2009.545878	1698.842397	59.23499857	0.814226065	-0.008417171	2005.983795	1699.672167	71.15380035	0.876737218	0.053200066	1987.140598	1702.323535	66.33629937	0	0.74410944	2008.865778	1691.598742	15.12259392	0	-1.271361911	2008.068657	1698.10492	59.83524581	0.825587774	0.031173312	2008.267257	1698.378272	60.67503095	0.825408801	0.022200256	2010.066468	1700.13477	61.42052791	0.839061066	-0.083010221	1922.341711	1639.739196	75.63620312	0	-0.920438237	772.9050809	1234.2506	0	0	-1.21323708	2010.629585	1693.660899	27.82762068	0	-1.262099917	2012.706301	1718.932112	210.7291877	0.896737733	-0.026067408	15172	503	73.97597024	21.35633733	46.7759715	114.4773822	2012.148422	1718.990064	209.2831266	0.903116212	-0.018590183	2012.529358	1719.327221	210.9289245	0.903887041	-0.021666022	2013.547848	1717.724357	205.073804	0.890935615	-0.011476252	2009.825016	1716.492175	205.1861343	0.931870211	0.025111964	2004.229401	1723.322244	219.9499727	0.935010975	0.010556194	2006.752694	1725.710664	230.870902	0.944981058	-0.009618128	2012.58686	1718.813123	211.1801558	0.905843847	-0.013457018	2012.970789	1719.163305	212.7990196	0.90598195	-0.018651557	2013.058997	1716.749698	192.0458799	0.887746982	0.013268761	2010.159312	1716.220587	206.5592202	0.940427879	0.029911783	2003.863666	1723.147417	213.6818172	0.951884048	0.040962175	2007.227167	1725.469337	229.5446754	0.954045079	-0.003356505	1494	15172	0.098470867	2343	10854	10	363
