Num_ID	Genotype	Isolate	Time	Image	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.0.s.radius.max	Lesion.red.m.cx	Lesion.red.m.cy	Lesion.red.m.majoraxis	Lesion.red.m.eccentricity	Lesion.red.m.theta	Lesion.grn.m.cx	Lesion.grn.m.cy	Lesion.grn.m.majoraxis	Lesion.grn.m.eccentricity	Lesion.grn.m.theta	Lesion.blu.m.cx	Lesion.blu.m.cy	Lesion.blu.m.majoraxis	Lesion.blu.m.eccentricity	Lesion.blu.m.theta	Lesion.redgrn.m.cx	Lesion.redgrn.m.cy	Lesion.redgrn.m.majoraxis	Lesion.redgrn.m.eccentricity	Lesion.redgrn.m.theta	Lesion.redblu.m.cx	Lesion.redblu.m.cy	Lesion.redblu.m.majoraxis	Lesion.redblu.m.eccentricity	Lesion.redblu.m.theta	Lesion.grnblu.m.cx	Lesion.grnblu.m.cy	Lesion.grnblu.m.majoraxis	Lesion.grnblu.m.eccentricity	Lesion.grnblu.m.theta	Lesion.Bred.m.cx	Lesion.Bred.m.cy	Lesion.Bred.m.majoraxis	Lesion.Bred.m.eccentricity	Lesion.Bred.m.theta	Lesion.Bgrn.m.cx	Lesion.Bgrn.m.cy	Lesion.Bgrn.m.majoraxis	Lesion.Bgrn.m.eccentricity	Lesion.Bgrn.m.theta	Lesion.Bblu.m.cx	Lesion.Bblu.m.cy	Lesion.Bblu.m.majoraxis	Lesion.Bblu.m.eccentricity	Lesion.Bblu.m.theta	Lesion.Bredgrn.m.cx	Lesion.Bredgrn.m.cy	Lesion.Bredgrn.m.majoraxis	Lesion.Bredgrn.m.eccentricity	Lesion.Bredgrn.m.theta	Lesion.Bredblu.m.cx	Lesion.Bredblu.m.cy	Lesion.Bredblu.m.majoraxis	Lesion.Bredblu.m.eccentricity	Lesion.Bredblu.m.theta	Lesion.Bgrnblu.m.cx	Lesion.Bgrnblu.m.cy	Lesion.Bgrnblu.m.majoraxis	Lesion.Bgrnblu.m.eccentricity	Lesion.Bgrnblu.m.theta	Leaf.0.m.cx	Leaf.0.m.cy	Leaf.0.m.majoraxis	Leaf.0.m.eccentricity	Leaf.0.m.theta	Leaf.0.s.area	Leaf.0.s.perimeter	Leaf.0.s.radius.mean	Leaf.0.s.radius.sd	Leaf.0.s.radius.min	Leaf.0.s.radius.max	Leaf.red.m.cx	Leaf.red.m.cy	Leaf.red.m.majoraxis	Leaf.red.m.eccentricity	Leaf.red.m.theta	Leaf.grn.m.cx	Leaf.grn.m.cy	Leaf.grn.m.majoraxis	Leaf.grn.m.eccentricity	Leaf.grn.m.theta	Leaf.blu.m.cx	Leaf.blu.m.cy	Leaf.blu.m.majoraxis	Leaf.blu.m.eccentricity	Leaf.blu.m.theta	Leaf.redgrn.m.cx	Leaf.redgrn.m.cy	Leaf.redgrn.m.majoraxis	Leaf.redgrn.m.eccentricity	Leaf.redgrn.m.theta	Leaf.redblu.m.cx	Leaf.redblu.m.cy	Leaf.redblu.m.majoraxis	Leaf.redblu.m.eccentricity	Leaf.redblu.m.theta	Leaf.grnblu.m.cx	Leaf.grnblu.m.cy	Leaf.grnblu.m.majoraxis	Leaf.grnblu.m.eccentricity	Leaf.grnblu.m.theta	Leaf.Bred.m.cx	Leaf.Bred.m.cy	Leaf.Bred.m.majoraxis	Leaf.Bred.m.eccentricity	Leaf.Bred.m.theta	Leaf.Bgrn.m.cx	Leaf.Bgrn.m.cy	Leaf.Bgrn.m.majoraxis	Leaf.Bgrn.m.eccentricity	Leaf.Bgrn.m.theta	Leaf.Bblu.m.cx	Leaf.Bblu.m.cy	Leaf.Bblu.m.majoraxis	Leaf.Bblu.m.eccentricity	Leaf.Bblu.m.theta	Leaf.Bredgrn.m.cx	Leaf.Bredgrn.m.cy	Leaf.Bredgrn.m.majoraxis	Leaf.Bredgrn.m.eccentricity	Leaf.Bredgrn.m.theta	Leaf.Bredblu.m.cx	Leaf.Bredblu.m.cy	Leaf.Bredblu.m.majoraxis	Leaf.Bredblu.m.eccentricity	Leaf.Bredblu.m.theta	Leaf.Bgrnblu.m.cx	Leaf.Bgrnblu.m.cy	Leaf.Bgrnblu.m.majoraxis	Leaf.Bgrnblu.m.eccentricity	Leaf.Bgrnblu.m.theta	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw
1	col0_U	1.03.04	H96	T1_IMG_1423_C.jpg	287.3604651	214.5423431	95.58995515	0.768729385	-0.110752632	4558	226	38.21000186	6.283716087	29.80722811	48.59068757	287.3966882	215.4796352	98.25721318	0.780634644	-0.138934189	287.0859892	215.491354	98.51771872	0.780075135	-0.141576668	286.6128218	214.7095838	93.8238572	0.762937513	-0.150656832	286.3042546	214.8952425	100.0698693	0.719576604	-0.143183489	305.5652802	306.5037181	267.8494955	0	-0.244395463	290.2332168	208.5072099	78.62204833	0.853217975	0.349816173	287.5253639	215.1867332	98.21443206	0.770536466	-0.177977551	286.914537	215.1691726	98.29381881	0.774864062	-0.189415113	285.9073233	214.7553288	94.12014108	0.775709709	-0.184690087	262.5335816	204.5769418	94.8450858	0	-0.84357115	219.5741583	115.0458544	0	0	-0.528342763	290.0268301	210.5912415	92.69541485	0.906307733	0.310037206	289.2821733	225.0288558	209.8939004	0.877951222	-0.012002359	15976	533	77.5320783	22.5216257	44.04410763	121.9797438	290.6411926	226.5200046	209.7262556	0.889364261	-0.023426523	290.7226138	227.1059074	212.4548995	0.888505975	-0.019856239	294.2009253	223.7883234	206.3989581	0.879859552	-0.010627498	297.6455572	228.1408682	210.3074257	0.871959388	-0.035791527	291.8881139	240.8019307	201.6079997	0	-0.120315742	308.4325093	296.4459401	269.9908986	0	-0.19542296	291.9721158	226.6374677	213.2895374	0.895435879	-0.029163846	292.0454673	227.4471414	216.0475595	0.893156	-0.023424707	293.3532868	222.7341828	196.4069741	0.881496471	0.011341906	291.2931408	224.2192	174.6800436	0.852919784	0.003958285	297.5789152	240.195969	184.3958133	0	-0.149540956	333.5065712	311.972165	230.0280512	0	-0.331048673	4558	15976	0.285302954	1500	8498	4	218
11	col0_D	1.03.04	H96	T1_IMG_1423_C.jpg	296.4164698	501.6250422	68.51297722	0.571912673	-0.658545578	2963	184	30.18819536	3.38157212	19.34607039	35.00479477	296.6366424	501.0523171	67.82847807	0.568782444	-0.626640785	296.5285724	501.1798879	68.37688022	0.563248351	-0.630992229	296.4425887	501.2031381	66.5318118	0.538337921	-0.6923486	298.4407453	496.4997332	69.64487341	0.612924586	-0.290718666	300.4265892	497.4777469	75.44541501	0.756245429	-0.320529724	292.4686071	513.7812718	27.88138067	0	-1.283708821	296.5019334	501.9582372	67.53216922	0.58844635	-0.684270948	296.2835093	502.3722938	67.95986382	0.580302918	-0.700160255	296.6325033	501.410467	63.95068505	0.533578957	-0.61010613	295.5886715	489.0868366	108.583966	0.606360687	1.549069868	297.3925058	497.1169082	88.83962285	0.898055524	-0.930260394	299.9093753	501.6213097	72.15200165	0.748604599	-0.037790913	309.3480906	489.4544891	214.4429032	0.860072281	0.223422386	17754	555	81.13146311	22.13487618	50.3751116	126.3617058	308.9147919	488.0486652	209.0158184	0.866743432	0.231265052	309.6467625	487.9689681	211.6774909	0.868715139	0.231496391	308.3682843	491.2208528	202.8202249	0.838958412	0.221534051	313.4850583	485.46563	208.34952	0.880085303	0.221430184	300.9789126	476.5893971	173.9633378	0.953389288	0.27460235	307.9611095	473.5403906	192.4929056	0	0.299889677	308.1284133	487.2114202	208.4416664	0.868559418	0.235717326	309.1093571	487.2400907	211.7647933	0.871144469	0.235128523	305.0041242	491.6992415	186.2057158	0.811177686	0.221631773	323.6748492	492.8491314	205.9027069	0.89715615	0.163331443	266.5040085	465.5628701	0	0	-1.296141136	269.6286221	459.30051	0	0	-1.199143863	2963	17754	0.166891968	1721	11561	11	375
17	pad4_U	1.03.04	H96	T1_IMG_1423_C.jpg	302.6120916	705.6072099	64.49054249	0.56570555	0.275995652	2663	170	28.7684321	2.568038723	23.88046501	34.34419409	302.6751741	706.6162194	65.6337246	0.588934975	0.318436865	302.5732729	706.6131975	66.4270784	0.595601134	0.311441926	302.5890571	707.5123104	66.54938711	0.619211193	0.330054006	307.7946172	720.7308124	77.26641233	0.767248299	0.217998928	299.5995479	703.1548306	66.53052397	0.807400108	0.088444322	307.1571303	694.5598022	35.99423102	0	-1.265753014	303.3025569	708.026302	64.93807621	0.60277642	0.318206729	302.9601186	708.1480787	65.86540842	0.626300654	0.31848793	302.6923899	708.806266	67.75391515	0.620600735	0.381857484	267.2543816	654.2636907	84.19513738	0	-0.511011773	302.4683526	703.1827485	107.3506788	0.792879665	1.419360769	304.146527	696.9132387	66.79901333	0.539462714	-1.429160315	318.6792547	728.9600164	331.7046104	0.915355758	-0.038403358	34239	824	112.1864414	35.15364192	64.24550184	176.0955832	322.2779554	726.9221173	320.9348431	0.919158296	-0.032347307	321.8561011	728.1526962	324.940296	0.918760749	-0.036408046	331.3384055	727.2098992	326.1280749	0.923744621	-0.041331617	295.2586659	731.1048896	308.2011301	0.884840829	0.02182574	228.519147	769.5643854	339.840289	0.989165922	0.453228378	3851.404345	-137.3990933	0	0	1.332694125	323.2014838	727.1601127	318.8689904	0.923201026	-0.035184051	322.7313095	728.3790213	324.71828	0.922191703	-0.037149572	333.7046617	728.5902024	315.2267449	0.935895786	-0.061060968	281.6846658	728.4089856	287.1383447	0.819602655	0.056216339	242.9572448	751.0530051	334.4966872	0.836159371	0.346674442	99.22183262	758.5076984	352.6765543	0	1.376896216	2663	34239	0.077776804	20443	9376	0	46
27	pad4_D	1.03.04	H96	T1_IMG_1423_C.jpg	314.2489439	930.567592	76.44742341	0.682685455	-0.633559643	3314	192	32.39338759	3.989105307	26.00331029	40.72232266	315.3545138	929.4685934	76.49038095	0.663097442	-0.64215679	314.9671934	929.4036206	77.71913439	0.667700091	-0.641172461	315.8834988	928.7870138	75.11478599	0.636247923	-0.618457141	315.2566101	921.6144435	101.8568746	0.757894419	-0.778817444	333.0202035	919.1004597	72.02810332	0	1.082225331	300.310685	944.9994113	21.8064512	0	0.483770961	315.2304977	929.5811533	78.5668432	0.681729425	-0.739617947	314.4336752	929.5197942	80.51770363	0.692676478	-0.748313407	316.4658176	927.524575	74.37914519	0.603265858	-0.688439486	297.9180062	896.655646	160.0135203	0	-0.913289864	366.2236266	940.7460456	100.514654	0	-1.382932586	307.3539665	934.3121667	50.21611359	0.782287255	-0.027073652	333.112216	903.0750437	317.7978612	0.914519111	0.065196473	31475	787	108.2006077	33.93542115	55.90408998	170.6869161	334.6688704	902.4334785	312.8992797	0.918314316	0.069633214	334.7927804	902.1005963	314.9958748	0.919009756	0.071021984	336.7064028	903.8851868	314.1117184	0.91510901	0.063820972	352.0265734	905.7629406	295.2906089	0.926889246	0.073348133	330.8282878	892.7672974	263.2616335	0.94303948	0.099625699	334.3386019	886.8803902	284.1579655	0.975710509	0.12753415	333.4022548	902.195843	311.0357675	0.91911929	0.069569923	333.7552831	901.8548436	314.0182813	0.919733347	0.071949344	334.4772807	904.4068638	305.0439769	0.915227768	0.055397405	359.4446379	907.4252592	292.7191599	0.923993277	0.080982104	316.3874352	886.384699	188.1440297	0	-0.073734033	318.1285655	878.4110219	211.9766196	0	-0.01273629	3314	31475	0.105289913	2879	24146	52	573
50	C71A12_U	1.03.04	H96	T1_IMG_1423_C.jpg	322.0238538	1143.756506	74.39665261	0.664663755	0.1521434	3228	190	31.63449987	3.617477884	24.16584493	37.80919768	321.3430752	1142.801964	74.83973856	0.676432423	0.11939023	320.8978365	1142.407396	75.03451961	0.672260265	0.114100385	321.6211273	1142.933774	71.09575109	0.666601211	0.032776854	313.3188354	1134.514822	78.4854263	0.769646226	-0.128844505	315.0816741	1135.445739	86.44472648	0.824095447	-0.038845951	257.3970279	1071.793303	106.4141272	0	-0.696481245	321.0335866	1141.83046	74.70115221	0.688654526	0.128492314	320.1071882	1141.203523	74.22938956	0.680952322	0.094198335	320.8695639	1142.183169	69.91231939	0.69853066	-0.075008188	290.368457	1103.016409	56.98163012	0	-0.627522588	305.5142985	1108.220062	86.39976027	0	-0.239809831	359.6295518	1194.983049	64.62249142	0	-0.630184959	340.4505772	1122.3361	262.199716	0.894298484	-0.085831032	23734	654	92.23733107	26.15173836	50.80306636	139.9741256	341.1284214	1124.708446	255.0025914	0.901729546	-0.100386218	341.3782298	1123.188655	258.6677875	0.902256025	-0.090213781	346.0577137	1126.005603	256.6482821	0.903748468	-0.113552939	335.2128567	1124.64596	240.5814395	0.839931239	-0.080566494	293.3862495	1008.982795	384.4256453	0	-0.20322847	388.1908912	1191.419235	88.27097092	0	-0.537627132	340.1739736	1125.279139	253.7056559	0.905232997	-0.095151886	340.5802228	1123.465716	258.6452893	0.90461752	-0.083824407	345.0729509	1128.360467	245.1404366	0.915401196	-0.10784532	348.509981	1119.254251	239.1671649	0.819469801	-0.207561442	328.5327205	1057.799572	363.8885633	0	-0.04747192	243.3248009	555.0429537	844.4380227	0	-0.1626505	3228	23734	0.136007416	12702	6999	0	825
61	C71A12_D	1.03.04	H96	T1_IMG_1423_C.jpg	308.2491405	1390.891015	140.9883947	0.822215759	-0.20063559	8726	346	53.92134754	11.19254531	34.59394775	74.5207901	306.5282316	1390.896744	142.5424411	0.823573316	-0.20470615	306.7633166	1390.814556	141.8968011	0.824029903	-0.197666564	307.8364357	1390.391644	138.7758277	0.825335193	-0.18020185	288.1655056	1390.385407	132.7407192	0.80831857	-0.258523246	301.04377	1399.72801	177.6467467	0.8219331	-0.324361975	378.2174534	1370.98413	0	0	1.287071311	305.5547479	1391.284885	139.5162332	0.806884563	-0.194795593	305.4959262	1391.117166	137.9277304	0.810282856	-0.188675244	306.9515715	1389.572968	135.2733709	0.817346311	-0.13126922	229.4734882	1395.176607	58.39651398	0	1.43975027	305.0317561	1411.340521	183.9508141	0.867851162	-0.437448732	356.0423858	1373.863452	64.56129161	0	0.615337462	335.5728095	1385.548591	255.0441993	0.919805593	-0.127942524	19448	616	87.6345691	29.3964375	40.93322018	141.9944528	333.5257436	1385.369944	252.3179085	0.922024516	-0.137745014	334.826828	1385.056798	253.4659407	0.921506247	-0.134460995	331.1935488	1386.593202	242.0751867	0.914822534	-0.142843717	333.8856081	1382.647806	264.1515349	0.934101751	-0.157479591	332.8719457	1384.713759	254.3179053	0.93467628	-0.255886507	315.309201	1377.2397	192.9782626	0	-0.848624279	332.8030911	1385.22395	254.3852682	0.925017413	-0.143308917	334.039472	1384.841522	255.1859474	0.92360071	-0.139278081	328.1949047	1387.507566	230.2529326	0.913581112	-0.164399871	328.6836317	1387.276401	249.067454	0.933566489	-0.202105018	317.806322	1386.173412	245.1144022	0.985662404	-0.35653039	219.0521287	1376.191876	153.4578575	0	-1.337659722	8726	19448	0.448683669	1132	5989	34	271
70	An055_U	1.03.04	H96	T1_IMG_1423_C.jpg	385.0189744	1520.767179	58.05137165	0.671789221	-0.142563722	1950	145	24.58451812	2.823317935	20.70455555	29.82886822	384.4844659	1521.261906	58.41718852	0.661792381	-0.10636787	384.400658	1521.307184	59.13413363	0.662536657	-0.107594769	384.1417822	1521.955094	55.36150457	0.638289121	-0.130735742	380.2114512	1527.216393	67.54294036	0.714087721	0.198486799	381.1779176	1521.746871	66.48847628	0.6831009	0.207312904	326.25236	1550.23044	134.3484098	0	1.018536992	384.5173506	1521.37378	58.44572069	0.642432498	-0.033019042	384.184634	1521.490996	59.22481597	0.640342917	-0.02362528	383.7990541	1522.211839	53.74638857	0.614380616	-0.073925302	379.2281274	1546.015182	131.3915392	0	0.718722316	381.4987224	1520.908038	87.39653096	0.843578966	0.583781613	399.0855599	1512.667711	0	0	-0.87878638	390.5309809	1540.357139	258.2510413	0.918554058	0.155462943	20093	654	88.95303176	29.16114531	49.44928637	145.0537899	389.4926595	1539.573901	256.3353344	0.925786225	0.159413283	389.753584	1540.274119	256.9102232	0.924167014	0.155940838	398.4051764	1541.727842	263.5091665	0.926590704	0.163234462	391.1291409	1540.374942	230.6643425	0.930516838	0.165491773	338.8627755	1506.631113	29.3218694	0	-0.25509173	364.5064367	1533.55335	219.0649527	0.990681245	0.155353203	390.532381	1539.252979	259.4509055	0.932175965	0.157153278	390.6313359	1540.109041	259.9226883	0.929024979	0.152669381	397.6213525	1541.51303	256.4772305	0.934099683	0.176763162	375.2371709	1540.836502	164.2826547	0.849295428	0.398800053	311.0411073	1492.687251	0	0	-0.615211396	365.1468416	1533.692	233.1930086	0	0.145978114	1950	20093	0.097048723	9783	7918	0	616
80	An055_D	1.03.04	H96	T1_IMG_1423_C.jpg	391.5782293	1884.167489	72.67709107	0.536773452	0.102036202	3445	191	32.83270282	2.90945511	28.19201189	40.44521866	391.2085028	1883.981095	72.85290224	0.530529053	0.156389355	390.7119194	1884.165328	73.05299771	0.530277654	0.1743107	390.1121477	1884.646033	70.90400913	0.508420487	0.25182573	384.6883203	1882.084565	79.96669959	0.618757233	0.643835857	401.9509408	1877.724984	80.61310181	0.659857135	0.206277287	407.8419068	1885.914655	13.94984606	0	-0.870626471	391.1815987	1883.716612	71.85400372	0.541994408	0.171100806	390.1880206	1884.06843	71.53353043	0.543184952	0.221783666	389.4687477	1884.97724	68.70628899	0.510209669	0.356717429	408.2343822	1885.045381	92.05069629	0.612189795	-1.028878014	408.3177657	1869.475834	93.42781924	0	0.555147174	401.6344662	1890.493703	77.03703262	0	-0.644836859	393.7204734	1873.676079	244.4475361	0.899905276	0.293892203	20363	569	84.01021294	23.50987713	47.66460179	125.2339618	394.1275835	1874.441028	237.2829654	0.89973522	0.289814593	394.2253091	1873.761227	241.2376771	0.90055889	0.292752547	395.0858987	1875.803551	233.9667114	0.896219108	0.279275042	400.9955386	1871.764509	207.9804161	0.882528894	0.280982069	394.2448935	1882.555906	227.4250158	0.943559629	0.220588425	391.9267581	1874.061714	250.0000343	0.919914264	0.299403087	394.3582476	1874.630464	236.5375693	0.900158309	0.280580658	394.617399	1873.64081	241.0307563	0.89982312	0.284628376	395.415133	1876.438898	228.6231147	0.904390245	0.255339035	396.0582441	1875.145161	199.1747417	0.910946887	0.341299849	397.550412	1889.355034	220.7432089	0	0.116102379	397.8570133	1874.973997	243.1358854	0.937465025	0.223540663	3445	20363	0.169179394	2794	12995	0	224
2	col0_U	2.04.17	H96	T1_IMG_1423_C.jpg	702.8185724	280.3390615	65.05265569	0.383949301	-0.009593803	3026	184	30.5978974	2.106791636	26.22610083	35.15437532	702.8579658	280.0292383	64.9329028	0.366810569	-0.000858356	702.8311073	279.9241467	65.25052571	0.376855195	-0.003913489	702.8207676	279.7472416	64.64996775	0.382541098	0.035222366	703.1275418	274.4695109	64.45056443	0.34301746	0.115117655	705.4186815	298.662268	85.66594449	0	-0.201140322	692.3659479	238.8570378	0	0	-0.247246676	702.7927637	279.9284358	64.00909283	0.389544804	-0.039739475	702.6082594	279.7699464	64.12138344	0.414932825	-0.036964925	702.6607371	279.9738346	65.28723167	0.411964661	0.014060442	730.6488159	329.2437701	158.5324854	0	-0.545546469	701.0494043	276.3974859	77.25872266	0.530887052	0.481376518	703.2619799	279.9535184	74.4974572	0.492548924	0.835646716	730.8316661	263.6631408	221.8533233	0.831849469	-0.009711177	20893	604	86.30494291	21.63772061	55.24563735	130.6525179	730.4224988	264.3874271	218.2516736	0.841524678	-0.00397195	731.4807608	264.1231582	220.0683227	0.839637572	-0.002653909	731.4073974	267.5676936	219.082983	0.856139201	-0.02516763	736.1672014	266.7687738	217.0152043	0.882572187	0.040342432	725.5146461	263.1127493	210.9771944	0.868238049	0.047949622	730.8441286	262.6641947	214.0662066	0.861831145	0.040880101	731.0840519	264.3666165	223.2548037	0.849265887	-0.008596344	732.3486035	264.298746	224.6857214	0.845174486	-0.004857976	730.7192958	268.5399031	212.3609002	0.874021564	-0.022071022	738.2086745	268.5092537	203.0725665	0.91922296	0.052992985	724.0315932	263.5774357	212.4443594	0.914396898	0.025231231	731.5987008	264.3188236	216.8866236	0.899810684	0.030201051	3026	20893	0.144833198	1861	13554	0	0
12	col0_D	2.04.17	H96	T1_IMG_1423_C.jpg	710.1160012	483.8545614	112.7765935	0.718888239	0.111912358	6862	288	46.5770358	6.591225919	34.22637148	56.7419236	710.1257187	483.9614482	116.0694271	0.729985061	0.096804905	709.9400717	483.8584288	115.8940105	0.730743005	0.093715597	710.0284054	483.7417486	113.2358845	0.719274373	0.077017824	707.7324171	484.2594154	148.3470478	0.819189063	0.002235192	711.5363653	491.6902061	150.8969441	0.924447953	0.391864342	720.4194779	477.4453396	61.25046184	0	-1.442893395	710.4063115	483.3084582	116.5705557	0.726519076	0.082663224	709.9997757	483.0939571	115.7691019	0.728085735	0.073709066	710.1342924	483.845388	113.3620051	0.720848877	0.040036188	709.0737434	473.3414786	166.7161305	0.945305735	-0.177768819	711.1295495	476.1331766	244.7990444	0	0.657237322	717.4582857	491.2296829	112.0058558	0.904725336	-0.734232285	714.5222176	492.3463598	212.2107463	0.867063367	0.140508213	16991	562	79.69204155	22.79011528	48.69599403	125.1651614	714.4813171	492.8957382	213.4116656	0.873809722	0.140517161	714.8230163	493.3001161	215.7014151	0.87497966	0.142829445	714.8404211	491.3303921	204.8420906	0.856634977	0.14609929	721.6912442	498.9004245	243.4071392	0.912193235	0.131682272	701.1245711	497.3071006	229.5166178	0.919637028	0.171512725	696.3433358	503.0125933	240.87278	0.940263363	0.244486867	715.2367916	492.7508318	220.8852078	0.885900315	0.136514168	715.6310688	493.4642783	222.3487629	0.884892226	0.142567542	713.8046069	490.6051877	197.8264609	0.853910604	0.160525351	723.4138127	497.5095786	234.2569244	0.910485074	0.174913758	703.0287144	493.073247	254.59755	0.95289637	0.118528355	699.2286825	500.3534638	260.5593279	0.961842207	0.215734765	6862	16991	0.403860868	1224	5997	32	246
