Num_ID	Genotype	Isolate	Time	Image	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.0.s.radius.max	Lesion.red.m.cx	Lesion.red.m.cy	Lesion.red.m.majoraxis	Lesion.red.m.eccentricity	Lesion.red.m.theta	Lesion.grn.m.cx	Lesion.grn.m.cy	Lesion.grn.m.majoraxis	Lesion.grn.m.eccentricity	Lesion.grn.m.theta	Lesion.blu.m.cx	Lesion.blu.m.cy	Lesion.blu.m.majoraxis	Lesion.blu.m.eccentricity	Lesion.blu.m.theta	Lesion.redgrn.m.cx	Lesion.redgrn.m.cy	Lesion.redgrn.m.majoraxis	Lesion.redgrn.m.eccentricity	Lesion.redgrn.m.theta	Lesion.redblu.m.cx	Lesion.redblu.m.cy	Lesion.redblu.m.majoraxis	Lesion.redblu.m.eccentricity	Lesion.redblu.m.theta	Lesion.grnblu.m.cx	Lesion.grnblu.m.cy	Lesion.grnblu.m.majoraxis	Lesion.grnblu.m.eccentricity	Lesion.grnblu.m.theta	Lesion.Bred.m.cx	Lesion.Bred.m.cy	Lesion.Bred.m.majoraxis	Lesion.Bred.m.eccentricity	Lesion.Bred.m.theta	Lesion.Bgrn.m.cx	Lesion.Bgrn.m.cy	Lesion.Bgrn.m.majoraxis	Lesion.Bgrn.m.eccentricity	Lesion.Bgrn.m.theta	Lesion.Bblu.m.cx	Lesion.Bblu.m.cy	Lesion.Bblu.m.majoraxis	Lesion.Bblu.m.eccentricity	Lesion.Bblu.m.theta	Lesion.Bredgrn.m.cx	Lesion.Bredgrn.m.cy	Lesion.Bredgrn.m.majoraxis	Lesion.Bredgrn.m.eccentricity	Lesion.Bredgrn.m.theta	Lesion.Bredblu.m.cx	Lesion.Bredblu.m.cy	Lesion.Bredblu.m.majoraxis	Lesion.Bredblu.m.eccentricity	Lesion.Bredblu.m.theta	Lesion.Bgrnblu.m.cx	Lesion.Bgrnblu.m.cy	Lesion.Bgrnblu.m.majoraxis	Lesion.Bgrnblu.m.eccentricity	Lesion.Bgrnblu.m.theta	Leaf.0.m.cx	Leaf.0.m.cy	Leaf.0.m.majoraxis	Leaf.0.m.eccentricity	Leaf.0.m.theta	Leaf.0.s.area	Leaf.0.s.perimeter	Leaf.0.s.radius.mean	Leaf.0.s.radius.sd	Leaf.0.s.radius.min	Leaf.0.s.radius.max	Leaf.red.m.cx	Leaf.red.m.cy	Leaf.red.m.majoraxis	Leaf.red.m.eccentricity	Leaf.red.m.theta	Leaf.grn.m.cx	Leaf.grn.m.cy	Leaf.grn.m.majoraxis	Leaf.grn.m.eccentricity	Leaf.grn.m.theta	Leaf.blu.m.cx	Leaf.blu.m.cy	Leaf.blu.m.majoraxis	Leaf.blu.m.eccentricity	Leaf.blu.m.theta	Leaf.redgrn.m.cx	Leaf.redgrn.m.cy	Leaf.redgrn.m.majoraxis	Leaf.redgrn.m.eccentricity	Leaf.redgrn.m.theta	Leaf.redblu.m.cx	Leaf.redblu.m.cy	Leaf.redblu.m.majoraxis	Leaf.redblu.m.eccentricity	Leaf.redblu.m.theta	Leaf.grnblu.m.cx	Leaf.grnblu.m.cy	Leaf.grnblu.m.majoraxis	Leaf.grnblu.m.eccentricity	Leaf.grnblu.m.theta	Leaf.Bred.m.cx	Leaf.Bred.m.cy	Leaf.Bred.m.majoraxis	Leaf.Bred.m.eccentricity	Leaf.Bred.m.theta	Leaf.Bgrn.m.cx	Leaf.Bgrn.m.cy	Leaf.Bgrn.m.majoraxis	Leaf.Bgrn.m.eccentricity	Leaf.Bgrn.m.theta	Leaf.Bblu.m.cx	Leaf.Bblu.m.cy	Leaf.Bblu.m.majoraxis	Leaf.Bblu.m.eccentricity	Leaf.Bblu.m.theta	Leaf.Bredgrn.m.cx	Leaf.Bredgrn.m.cy	Leaf.Bredgrn.m.majoraxis	Leaf.Bredgrn.m.eccentricity	Leaf.Bredgrn.m.theta	Leaf.Bredblu.m.cx	Leaf.Bredblu.m.cy	Leaf.Bredblu.m.majoraxis	Leaf.Bredblu.m.eccentricity	Leaf.Bredblu.m.theta	Leaf.Bgrnblu.m.cx	Leaf.Bgrnblu.m.cy	Leaf.Bgrnblu.m.majoraxis	Leaf.Bgrnblu.m.eccentricity	Leaf.Bgrnblu.m.theta	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw
1	col0_U	1.03.04	H48	T1_IMG_1322_C.jpg	257.6363636	207.8658009	18.66781234	0.513425232	-1.552490796	231	51	8.141678916	0.809801684	6.392277155	9.979313475	257.734102	207.8400085	18.28325869	0.482379265	-1.562442472	257.6661523	207.911214	18.61433163	0.493520928	-1.547848143	257.6630603	207.3139185	18.46565965	0.466281926	1.505560571	254.9593238	208.7229236	26.79940604	0.936837041	-1.554660029	253.6162439	210.0812438	29.52467996	0	1.489950123	257.4769181	208.0029605	19.0452992	0.618904036	-1.531328743	258.1372149	206.4591563	16.08345494	0.575072391	0.333158083	257.9484151	205.9229601	16.59688333	0.709489402	0.267450663	258.8029625	182.1206372	21.67572798	0	0.06462999	251.9306858	209.325948	32.8705644	0	-1.492169879	254.9104599	214.7320841	19.36012144	0.99053651	0.924332402	257.3333799	209.8092622	20.18689129	0.661494314	-1.426585477	263.4271238	229.0663438	216.1129503	0.895732348	-0.017770069	15691	537	76.83427457	23.68314286	40.85318694	122.6620602	265.7714982	230.0688624	212.5207528	0.902831425	-0.02302817	265.2086256	230.1846911	212.9108352	0.901022725	-0.020817705	269.9344932	230.254893	222.1332183	0.911482507	-0.028407045	254.7085271	221.4392511	239.7976859	0.854648417	0.030869211	242.0822076	219.3295509	220.9850851	0.83680051	-0.057928035	231.4063066	207.8490989	224.5633912	0.881820063	-0.232788256	267.1848129	230.3216901	214.802477	0.908588905	-0.028053858	266.3736174	230.4795317	215.5814977	0.904794987	-0.023146303	270.5538985	231.5002404	206.7672923	0.931895818	-0.02267033	217.6503708	201.9170036	158.2066413	0	-0.710893533	243.7977818	219.6213023	230.2772639	0.817096074	-0.060750063	233.6951031	208.9744467	234.266295	0.850445224	-0.232565611	231	15691	0.014721815	10702	4752	0	55
11	col0_D	1.03.04	H48	T1_IMG_1322_C.jpg	275.9144543	507.1976401	21.49188827	0.332319602	-0.114117068	339	59	9.943205362	0.653985696	8.273495788	11.3783866	275.8294997	507.0901678	21.07007865	0.281872749	-0.169916264	275.8075819	506.9789434	21.4335439	0.272886019	-0.263042471	275.8751092	506.3889286	21.87617607	0.272695575	-0.590563656	274.3191871	501.0958975	20.81862637	0.91246558	-0.576763587	275.4724192	507.7321905	19.08172751	0.281705454	0.066534971	179.7467396	345.2526075	72.35402663	0	-0.55673493	275.3604861	506.9018079	20.01826351	0.424712345	-1.536781895	274.8645519	506.1493723	21.70199626	0.589042952	-1.395254721	267.6360666	484.835688	0	0	-0.516074378	278.051041	509.9788888	27.31157587	0.938287068	-0.238252968	274.9670599	508.1810974	15.75224788	0.44187944	1.003650047	280.8201162	511.8047321	22.83571945	0	-0.263756424	291.5345823	492.77005	218.6668842	0.902390466	0.263693289	15586	563	77.50170001	24.64079465	38.48034456	124.8781565	291.2152601	492.537564	211.0758604	0.900786407	0.265723653	291.6773297	492.6033883	212.4050216	0.901464481	0.265453022	292.1752089	492.955954	213.7641595	0.89773586	0.268595033	299.4457941	492.1879795	188.4275672	0.884590008	0.268157062	283.2744422	489.9077138	149.6549975	0.874571074	0.287920427	287.9770295	490.1142518	153.5975903	0.891984439	0.29017692	289.3803089	491.4677891	206.8119722	0.899230162	0.262761252	290.30632	491.8216733	209.2885295	0.90038991	0.263609552	286.8689136	491.3342003	193.453067	0.885592785	0.259254164	312.1322439	498.8819372	187.4790055	0.898274658	0.212775233	261.1594051	483.3830353	0	0	-1.405700278	259.0921733	480.6787578	0	0	-1.324211562	339	15586	0.021750289	1746	13273	0	21
17	pad4_U	1.03.04	H48	T1_IMG_1322_C.jpg	280.4753086	712.8333333	23.16436943	0.627169415	-0.418259975	324	60	9.720333727	1.086457552	7.517849131	11.66696428	280.6091855	712.9912903	23.05604748	0.641472571	-0.389597532	280.6067308	712.964523	24.01605243	0.649137722	-0.38426844	280.8520296	713.6134773	24.72268235	0.709200903	-0.340957334	276.4848401	714.3049899	25.76921469	0.77293858	-0.689539058	289.3353406	716.0608073	0	0	-1.089995956	279.3672761	712.1376901	20.00817409	0.652465719	-0.792660315	281.0124274	712.8181704	24.66362606	0.784884621	-0.336509804	280.9773173	712.9713393	30.46437426	0.838236879	-0.274761436	281.1422386	715.4433585	38.11906393	0	-0.277533132	273.8322285	711.7273772	32.59662155	0	-0.954875144	261.3577364	716.0916858	45.41228982	0	1.433867301	279.2396829	712.1248793	19.97110213	0.83882954	-1.389209639	299.2556145	739.0157207	334.2982864	0.917963744	-0.032463649	34286	846	111.7525435	36.23397699	60.65325888	179.0584379	306.4803262	738.6485982	330.1763259	0.925761616	-0.034671333	304.9218097	738.9710767	330.653721	0.923856015	-0.034269985	313.6563642	738.5341627	334.5703515	0.928709253	-0.037990551	272.2645845	737.786212	374.7991056	0.891850778	0.004342772	237.1412745	740.0153163	261.9307558	0.708779224	0.01622504	181.1625093	735.8731396	220.9031584	0	-1.54071139	307.171264	739.2378415	326.7041247	0.930066164	-0.042059794	305.4629254	739.4360007	329.3180364	0.926935336	-0.038480085	316.1283386	739.5917073	319.6906851	0.941726556	-0.054802025	263.4458959	732.7955747	356.1139566	0.850040759	0.022431358	243.1768623	737.9390987	286.891218	0.736413906	0.022704198	210.832768	734.0406003	223.4311155	0.698219889	-1.467070832	324	34286	0.009449921	30477	3273	0	68
27	pad4_D	1.03.04	H48	T1_IMG_1322_C.jpg	295.0728745	949.1740891	20.19283765	0.630599001	-0.822351194	247	51	8.432437314	0.927866767	6.553978397	10.21886594	295.0611868	949.1149871	19.8440129	0.626139218	-0.822789985	295.0655543	949.2852841	20.19482353	0.632946082	-0.839521767	295.2397384	949.3844908	20.46069514	0.654552843	-0.868138719	294.8128096	944.4098134	19.85738778	0	-0.141403202	294.8402532	948.6381642	18.09404286	0.589189358	-0.762440547	294.9479915	947.0548859	20.2548971	0.740645988	-0.273404303	294.8581082	948.8452581	17.26050269	0.639655707	-0.88933643	294.7666878	950.1811817	16.41153027	0.767137285	-1.174131889	295.41559	943.2826238	32.54489418	0	0.003825585	295.4989442	947.8538714	23.06868431	0.627962174	-0.467633242	294.7479915	946.8390637	13.49288066	0.876774902	-0.147516337	294.6630044	948.2117802	23.01032403	0.62993346	-0.437758594	318.6756785	919.7921231	318.4720598	0.930683581	0.067747765	28666	775	104.4736524	35.37674774	51.68282676	166.5039602	320.4584062	919.6286092	313.0951211	0.932906391	0.067032509	320.5390211	919.610821	314.0554047	0.932759197	0.067707761	323.4168346	920.402459	316.3539947	0.93288925	0.068402119	340.3583479	921.1378854	296.5422519	0.93482423	0.073332145	317.5416087	916.3282036	267.8239487	0.944755335	0.047084575	320.9973701	915.2937273	271.7197478	0.949783419	0.060914835	319.2077946	919.4339786	310.7521246	0.932433052	0.06555222	319.5443096	919.5121409	312.506867	0.932177245	0.066812686	321.9010398	920.6209127	307.6234333	0.936022698	0.063418736	350.9953995	921.6825064	289.8867661	0.947058078	0.098515316	312.7021446	914.6197611	229.7603865	0.997728743	-0.022964601	314.5894676	913.5691305	222.0016567	0	-0.018795939	247	28666	0.008616479	2986	25138	0	7
50	C71A12_U	1.03.04	H48	T1_IMG_1322_C.jpg	310.1080247	1169.938272	23.59960206	0.661034449	-0.259647786	324	60	9.715578854	1.248788202	7.169243723	12.21739425	310.0741656	1169.98163	23.34613674	0.656263285	-0.242426672	310.1144141	1169.78704	24.15527514	0.67446136	-0.248631891	309.7252685	1169.975744	23.28646785	0.638049489	-0.175470284	306.0576744	1169.323982	30.88490738	0.869033513	-0.78708522	302.2496312	1272.338118	0	0	0.175633045	309.9280337	1170.751364	20.7951266	0.60194027	-0.403254408	310.2690631	1170.657912	22.52163287	0.708427859	-0.128622389	310.1726057	1169.70535	26.55222271	0.800240506	-0.176493478	307.3011722	1173.987285	24.37839956	0	0.49593326	290.8784027	1197.686689	0	0	0.545082621	308.9423745	1166.41703	31.40630287	0.901261793	-0.644090253	310.1381374	1170.528774	21.74866833	0.563662379	-0.626572307	326.8441843	1140.08908	263.5227992	0.900827208	-0.074372304	23316	635	91.53698414	26.65582605	50.08753196	139.791178	329.7972632	1140.583194	261.5435478	0.911697086	-0.080849855	328.9619039	1140.368841	261.5216349	0.909353264	-0.077869561	336.8065889	1140.348253	266.03794	0.918552704	-0.080864268	326.1483254	1134.236803	285.0391857	0.848446236	-0.014863311	298.2258098	1133.912597	245.1484247	0.763611289	-0.097644738	269.152253	1127.366267	216.6596225	0.664316847	-1.040764034	328.6208858	1140.765661	259.9185488	0.9150851	-0.080424154	327.9310461	1140.462604	261.0065954	0.911134031	-0.076251692	337.1105747	1141.278423	255.0587138	0.935093176	-0.080708848	347.6676648	1131.85012	281.5915505	0.814222203	-0.003688818	307.4515754	1133.257196	270.3755453	0.78911808	-0.081160652	301.6828203	1129.000017	287.8218376	0.725455837	-0.141018121	324	23316	0.013896037	21537	1377	0	115
61	C71A12_D	1.03.04	H48	T1_IMG_1322_C.jpg	316.1369193	1413.305623	26.98134836	0.678598591	-0.163479683	409	70	10.9990295	1.562677909	7.719693871	13.38525689	316.3669748	1413.028166	27.34226653	0.688028251	-0.149483404	316.1712313	1412.972197	27.75494409	0.698972914	-0.153499559	316.4637386	1412.835504	27.73074937	0.70978105	-0.179596333	317.3523412	1410.197789	31.62628409	0.842946784	-0.061953414	313.9786351	1415.503813	28.46966809	0.925969478	0.559150572	289.6441705	1400.071629	0	0	-1.027947571	316.5842407	1412.387974	27.74383972	0.693893381	-0.134015332	315.9979802	1412.045021	29.32389146	0.750397242	-0.160349394	316.4666462	1411.536836	29.39064039	0.761381589	-0.220002315	318.386294	1312.591889	76.49078715	0	0.00201961	317.1068796	1402.986643	34.97216437	0	-0.397770269	316.9958198	1412.641553	30.62259119	0.958224216	-1.005149317	330.6613801	1402.411939	280.1700499	0.947736109	-0.105032187	19231	669	90.6198931	34.96723555	39.94950174	153.3113524	330.4313893	1402.47253	273.5168338	0.949427207	-0.113059583	330.4964357	1402.374075	274.0794628	0.948631974	-0.111277293	332.9424715	1402.637668	275.8451571	0.950580601	-0.10852299	331.8363097	1399.838933	240.1814164	0.950544593	-0.11694901	328.9547441	1405.062418	246.4656351	0.968028808	-0.221768857	327.252048	1404.876617	234.151019	0.957046688	-0.224876455	330.3090524	1402.111547	271.500724	0.950753384	-0.11646519	330.2159486	1402.042246	272.8017624	0.949223434	-0.114521291	331.2756591	1402.944341	259.198741	0.953041554	-0.107798712	330.7700575	1401.196311	235.5182427	0.95988892	-0.101934755	332.6119097	1409.037016	253.2738235	0	-0.293238462	328.6405038	1406.963429	223.8408586	0	-0.327364151	409	19231	0.021267745	2136	16057	0	92
70	An055_U	1.03.04	H48	T1_IMG_1322_C.jpg	372.8051948	1540.508658	27.6332406	0.622706673	-0.027291678	462	71	11.72473848	1.384893734	8.605184286	14.61211776	372.7654098	1540.556903	27.66390527	0.628187857	0.045253134	372.7309756	1540.520925	28.25580138	0.629297163	0.029463994	372.2895061	1540.259561	29.13272531	0.63573139	0.232575061	371.0274582	1541.423132	34.22326193	0.713648104	0.379422847	372.4702116	1542.98511	41.09003776	0	0.683874002	373.703216	1540.619329	22.3031288	0.959329252	-0.766241818	372.4926389	1539.534775	29.47490737	0.728636883	0.20425612	372.295485	1539.377902	31.03373601	0.710674322	0.198381662	370.0860115	1535.291509	35.58217458	0.905989235	0.280249018	385.3905389	1551.506696	26.28222061	0	-1.027924705	370.640745	1521.476348	48.63968095	0	0.16932069	374.6073041	1545.249253	21.17124102	0	-0.758098675	379.9386334	1562.087266	258.9319176	0.920773223	0.140782444	19962	670	87.32182217	29.03574864	46.5005943	142.2752878	384.8209211	1563.137246	260.7229671	0.929505977	0.141134158	383.2178118	1562.924427	259.6273152	0.927565634	0.138988037	391.5860012	1564.536184	268.1318049	0.932509129	0.15410563	392.9591451	1560.645774	309.3488284	0.933123198	0.165119234	335.3718886	1550.617919	191.3996325	0.690534417	-0.015350928	196.9509026	1505.075728	245.012216	0	-1.280788296	385.4777716	1562.675318	251.3808831	0.930885702	0.147901962	383.7578229	1562.629968	253.3310448	0.928300172	0.141940632	394.2004203	1563.561509	231.9699863	0.940393223	0.22524888	342.7053549	1558.959282	192.0419745	0.757607831	0.545609426	323.4942219	1551.633961	151.5672516	0.883052657	-1.270598652	246.5945737	1534.47186	219.0653123	0	-1.388894249	462	19962	0.023143974	17668	1552	32	316
80	An055_D	1.03.04	H48	T1_IMG_1322_C.jpg	398.2463415	1894.007317	24.30322485	0.46364198	0.328778911	410	64	10.95311442	0.6525097	9.720005948	12.1595031	398.2227848	1894.112881	24.10013826	0.464684345	0.285962169	398.2930174	1894.029004	24.70260829	0.485700884	0.33113696	398.1112096	1893.822924	25.98398963	0.527702838	0.35174039	399.2586143	1894.380634	29.09393164	0.673012798	0.331903424	398.1700769	1894.688766	21.55750586	0.410994351	-0.081082303	399.3234055	1896.340896	28.90400466	0.694009357	0.139671021	398.3950363	1894.190653	23.46992278	0.48244574	0.095603762	398.8433518	1893.722105	25.31413513	0.551200206	0.321486093	400.5736664	1885.937912	36.49185577	0	0.28466711	393.9067123	1896.350988	22.33748899	0.979307894	1.313338779	397.9251591	1896.035334	19.43605654	0.684134918	-0.262903101	393.7518538	1888.386083	21.86199479	0	-0.992079338	397.3401015	1882.614795	243.8644292	0.913216136	0.245448025	18912	552	82.06427788	24.55786363	42.15260466	124.4085633	398.8690355	1883.830892	238.4995815	0.916354348	0.23568601	398.7482861	1883.144031	240.2035219	0.915621562	0.23990974	400.5276373	1884.406316	241.9577984	0.919276041	0.225127809	412.1039945	1883.532336	218.8540437	0.917653051	0.204224213	405.1339224	1898.183809	189.8549066	0	0.044828639	402.2973875	1888.832741	208.1706327	0.940858605	0.19058421	399.5081494	1884.020596	237.5546508	0.916246051	0.225986461	399.5446109	1883.056643	240.2197798	0.915133438	0.231814494	401.8495025	1884.901264	236.4313577	0.931654224	0.196332804	407.1764424	1888.864329	224.3200028	0.978273752	0.261069232	413.4000126	1906.070011	162.1455834	0	-0.221664356	410.8273534	1889.416616	185.175109	0.990242569	0.0238127	410	18912	0.021679357	3300	15151	0	48
2	col0_U	2.04.17	H48	T1_IMG_1322_C.jpg	683.5761905	288.2	24.45299098	0.405941698	1.294152066	420	67	11.14779306	1.110431807	9.063683995	13.42089851	683.8187638	288.3159006	24.6571392	0.416680423	1.341608937	683.8104195	288.172397	25.27394684	0.419358913	1.302395213	684.237572	288.0257638	26.66910266	0.447551282	1.31989226	687.0692806	287.6122035	30.86786164	0.605351542	1.430230721	684.2538697	289.7099679	21.975143	0.478419623	1.500302665	681.0895873	287.0485712	0	0	-0.734819421	684.9854983	288.6553508	26.16379461	0.521003879	-1.558751228	684.9744564	287.8604247	28.57597857	0.511947663	1.384264966	687.6800392	286.8704077	36.0510165	0.690808953	1.372405856	709.7207488	286.6930832	55.4368228	0	1.550306087	690.1906298	295.5244044	5.966837039	0	-0.973807104	680.1480335	287.9733241	0	0	-0.527398843	716.5155365	270.350464	225.3435546	0.841789261	0.015835659	21015	602	86.65795815	22.08043414	54.38342611	130.3353797	717.7318263	271.1516503	222.710782	0.852226215	0.010644534	717.4459327	270.9596133	222.9789952	0.849740096	0.011647218	722.055846	272.6814394	229.7706157	0.870265032	0.003617979	726.3115195	272.2233702	247.697873	0.849540795	0.084129228	583.6811273	182.4944158	339.0336994	0	-1.024487888	737.7306778	286.4395907	156.3450232	0	-0.272145976	717.8416876	270.2821394	226.3313343	0.865463862	-0.009139085	717.6003587	270.3139682	226.5644024	0.860105541	-0.005032017	721.6570346	272.6454035	218.1532698	0.90881003	-0.033515024	733.6560813	284.1108728	202.8104753	0.946990347	0.663311667	679.0241258	244.5310545	255.7936107	0.360291882	0.056929922	768.8952591	304.2500654	0	0	-0.629626697	420	21015	0.019985724	14831	5646	21	185
12	col0_D	2.04.17	H48	T1_IMG_1322_C.jpg	688.3598234	486.0750552	27.38425819	0.607637434	0.834404015	453	72	11.68630369	1.505436855	9.131603817	14.80043428	688.6183325	486.1433767	27.39988012	0.605731522	0.869466379	688.744459	485.969688	28.25643179	0.614367954	0.890475446	689.2991297	485.7922807	28.92929865	0.613810338	0.980237222	695.3803677	484.2064401	40.77231987	0.979279319	1.213050767	687.8014604	487.136596	23.3311131	0.649176477	0.789394941	684.0943077	485.8172304	8.557853553	0	-0.355229648	689.2474205	485.9109213	27.66093489	0.636561407	1.041146352	690.1103602	484.9396505	31.22864553	0.72468755	1.08889931	692.7302732	482.3076294	36.60403665	0.93306035	1.113213263	682.2604219	492.836699	6.801578507	0	0.461205762	688.4419156	490.5224655	8.395839095	0	0.113470316	681.2230941	485.8447269	0	0	-0.982850929	694.7448769	511.5359473	227.6264815	0.895681278	0.101109234	17470	580	81.65375667	25.23303022	48.90713861	129.815099	694.3315046	511.1402084	222.4650117	0.895609999	0.101048939	694.6884921	511.474668	223.3654899	0.895697238	0.100797937	695.4151185	511.3142262	224.266047	0.89500677	0.09809793	700.0085494	512.1951074	216.947265	0.911453564	0.104764498	684.2729656	508.1821634	194.7932474	0.878529861	0.096976027	685.7821215	510.9649356	196.8472161	0.875828223	0.103751611	693.4834182	510.7450598	224.4577054	0.899348014	0.103168983	694.3068989	511.3816509	225.3347173	0.898484901	0.104232547	693.3470945	511.0170966	213.7849267	0.894811435	0.09621521	705.3145658	513.0669053	202.9567038	0.922940198	0.102081378	675.5336027	503.3034741	162.4635737	0.863522082	0.011834022	679.1720107	508.0195517	165.6480664	0.843769635	0.098112713	453	17470	0.025930166	1951	14816	0	88
