Num_ID	Leaf	Num_ID.x	Directory	GSL_Plates_Run	GSL_Plate	HPLC_PlatePosition	HPLC_Plate	HPLC_Col	HPLC_Row	Plate_Pos	Exp_Tray.x	Geno1	Surface1	Iso1	Treatment	X3MSO	Q3MSO	X4MSO	Q4MSO	X5MSO	Q5MSO	X7MSO	Q7MSO	X4MT	Q4MT	X8MSO	Q8MSO	I3M	QI3M	X4MI3M	Q4MI3M	X6MSO	Q6MSO	X4OHI3M	Q_4OHI3M	P3m_like	QL_3MSO	QL_4MSO	QL_5MSO	QL_6MSO	QL_7MSO	QL_4MT	QL_8MSO	QL_I3M	QL_4MI3M	QL_4OHI3M	Num_ID.y	Genotype	IsoSur	Isolate	Surface	Image	Exp_Tray.y	Image_Num	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw	LEFcm	LEScm	RemainLFcm	LESPropcm	LEFYlwcm	LEFGrncm	LesPercm
1	T11-Col0-D-DavisNavel	182	CC_FEB42019-1FB-1401.D	P9P14	P09	P1-F-02	P1	F	2	GSL_P09-F-2	T11	Col0	D	DavisNavel	Treatment	162.44621	0.000781823	3387.35889	0.011990201	91.27102	0.000306947	42.4159	0.000175735	136.68442	0.00046573	193.83887	0.000803103	2394.86621	0.002736396	455.2959	0.00044847	0	0	105.18063	0.000103604	48.74747	0.006254583	0.095921608	0.002455577	0	0.001405882	0.003725843	0.006424821	0.021891166	0.003587761	0.00082883	10	Col0	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	4004.720109	221.8423913	23.41307057	0.493363935	-0.291686659	368	65	10.34798517	0.958750731	8.336204634	368	23364	0.015750728	5458	16671	20	162	2.936415371	0.046250679	2.890164693	1.98E-06	2.095231153	0.685967946	0.728699552
2	T11-Col0-U-DavisNavel	193	CC_FEB42019-1GA-0701.D	P9P14	P09	P1-G-01	P1	G	1	GSL_P09-G-1	T11	Col0	U	DavisNavel	Treatment	110.16045	0.000530181	1788.24768	0.006329843	88.79604	0.000298624	109.84795	0.000455116	38.04774	0.000129642	246.01234	0.001019265	1970.172	0.002251136	498.6362	0.000491161	38.88264	0.000145999	91.17175	8.98E-05	44.00387	0.004241451	0.050638742	0.00238899	0.001167989	0.003640928	0.001037133	0.00815412	0.018009091	0.003929286	0.000718439	9	Col0	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3672.112798	236.9804772	28.93122606	0.70091711	0.337943274	461	76	11.82128045	1.70186725	8.884073724	461	21200	0.021745283	18710	2007	108	235	2.664441272	0.05793903	2.606502242	2.73E-06	0.252242152	2.351495103	0.852017937
3	T11-Cyp79-D-DavisNavel	123	CC_FEB42019-1AC-1701.D	P9P14	P09	P1-A-03	P1	A	3	GSL_P09-A-3	T11	Cyp79	D	DavisNavel	Treatment	53.84617	0.000259151	1262.0675	0.004467328	58.13484	0.000195509	53.81433	0.000222961	51.8003	0.000176501	186.24603	0.000771644	0	0	0	0	16.99499	6.38E-05	0	0	42.70484	0.002073211	0.035738624	0.001564074	0.00051051	0.001783685	0.00141201	0.006173155	0	0	0	40	Cyp79	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	3973.062847	1048.296673	45.13797898	0.729482911	-0.480087053	1082	112	18.43997045	2.840846241	14.63651049	1082	17905	0.060430047	7650	8979	117	679	2.250321744	0.13598705	2.114334694	7.59E-06	1.128491424	0.961461119	1.255605381
4	T11-Cyp79-D-Rasp	145	CC_FEB42019-1CA-0301.D	P9P14	P09	P1-C-01	P1	C	1	GSL_P09-C-1	T11	Cyp79	D	Rasp	Treatment	0	0	258.33243	0.000914417	0	0	0	0	0	0	27.57376	0.000114242	0	0	0	0	12.2537	4.60E-05	0	0	104.17291	0	0.007315334	0	0.000368087	0	0	0.000913937	0	0	0	38	Cyp79	Rasp-D	Rasp	Down	T11_IMG_4100	T11	4100	3192.484277	1030.060273	105.793404	0.746390728	0.214956493	5724	275	42.8883505	6.925349987	31.33525187	5724	15341	0.373117789	1129	6023	267	3696	1.928075167	0.719399143	1.208676024	4.69E-05	0.75697782	0.141894066	3.082959641
5	T11-Cyp79-U-DavisNavel	134	CC_FEB42019-1BB-1001.D	P9P14	P09	P1-B-02	P1	B	2	GSL_P09-B-2	T11	Cyp79	U	DavisNavel	Treatment	0	0	66.87603	0.00023672	0	0	20.75953	8.60E-05	0	0	26.32256	0.000109058	0	0	0	0	13.27624	4.99E-05	0	0	86.09303	0	0.001893763	0	0.000398803	0.000688078	0	0.000872466	0	0	0	39	Cyp79	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3647.693607	1028.535585	37.6292492	0.659038613	-0.127633688	829	98	15.86064952	1.896472134	11.89521969	829	9423	0.087976228	773	5118	0	616	1.184293873	0.104189708	1.080104165	1.11E-05	0.643236341	0.097151561	1.098654709
6	T11-MYB28-D-DavisNavel	147	CC_FEB42019-1CC-1901.D	P9P14	P09	P1-C-03	P1	C	3	GSL_P09-C-3	T11	MYB28	D	DavisNavel	Treatment	76.30684	0.00036725	2923.41968	0.010348	269.32126	0.000905735	82.27316	0.00034087	0	0	17.11964	7.09E-05	229.58667	0.000262328	121.05276	0.000119238	33.53621	0.000125924	251.18613	0.00024742	110.40761	0.002938003	0.082784	0.007245884	0.001007388	0.002726958	0	0.000567433	0.002098622	0.000953904	0.001979363	53	MYB28	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	3965.45776	1546.818599	51.35664073	0.671883544	-0.337760046	1527	130	21.78061191	2.545219071	16.70041101	1527	15331	0.099602113	1982	9747	114	406	1.926818355	0.19191518	1.734903175	1.25E-05	1.225014579	0.249100123	1.457399103
7	T11-MYB28-D-Rasp	169	CC_FEB42019-1EA-0501.D	P9P14	P09	P1-E-01	P1	E	1	GSL_P09-E-1	T11	MYB28	D	Rasp	Treatment	127.79942	0.000615074	4461.69678	0.015793024	355.36633	0.001195108	50.45025	0.000209023	0	0	45.15347	0.000187077	365.47308	0.000417593	570.84344	0.000562285	0	0	77.55404	7.64E-05	24.84694	0.004920595	0.126344195	0.009560861	0	0.001672182	0	0.001496619	0.003340743	0.004498284	0.000611131	51	MYB28	Rasp-D	Rasp	Down	T11_IMG_4100	T11	4100	3252.382968	1519.223355	65.11501161	0.801695178	-0.416339518	1961	161	25.18783759	4.945657848	15.66858673	1961	15034	0.130437675	2985	9625	474	1241	1.889491041	0.246460818	1.643030224	1.64E-05	1.209681474	0.375158358	1.804932735
8	T11-MYB28-U-DavisNavel	158	CC_FEB42019-1DB-1201.D	P9P14	P09	P1-D-02	P1	D	2	GSL_P09-D-2	T11	MYB28	U	DavisNavel	Treatment	102.18287	0.000491787	3335.052	0.011805051	275.46063	0.000926382	28.56833	0.000118363	0	0	25.22449	0.000104509	239.5052	0.000273661	424.72952	0.000418362	0	0	0	0	35.30943	0.003934294	0.094440407	0.007411059	0	0.000946902	0	0.00083607	0.002189286	0.003346896	0	56	MYB28	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3635.365385	1561.331731	35.57573913	0.769802686	0.674258211	624	85	13.9251986	2.378097799	9.426400385	624	11120	0.056115108	7255	2957	45	345	1.397574856	0.078425064	1.319149792	7.05E-06	0.371639285	0.911817048	0.952914798
9	T11-Pad3-D-DavisNavel	135	CC_FEB42019-1BC-1801.D	P9P14	P09	P1-B-03	P1	B	3	GSL_P09-B-3	T11	Pad3	D	DavisNavel	Treatment	34.41253	0.000165621	898.88513	0.003181775	47.31255	0.000159114	57.23859	0.000237148	69.8555	0.000238021	119.9148	0.000496824	894.84906	0.001022463	311.69022	0.000307017	40.6483	0.000152628	448.05389	0.000441337	111.16824	0.001324968	0.025454199	0.001272908	0.001221027	0.001897183	0.001904172	0.003974596	0.008179701	0.002456139	0.003530694	43	Pad3	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	3961.332451	1272.751323	41.6020878	0.509557049	0.240847295	1134	117	18.62889238	2.083985134	15.01415311	1134	19179	0.05912717	3599	9954	0	60	2.410439583	0.142522472	2.267917111	7.43E-06	1.251030586	0.45232661	1.311659193
10	T11-Pad3-D-Rasp	157	CC_FEB42019-1DA-0401.D	P9P14	P09	P1-D-01	P1	D	1	GSL_P09-D-1	T11	Pad3	D	Rasp	Treatment	25.00887	0.000120363	324.44431	0.001148432	29.49524	9.92E-05	30.34123	0.000125708	0	0	49.6051	0.000205521	337.01675	0.000385078	402.35425	0.000396322	26.68669	0.000100205	264.2384	0.000260277	153.07524	0.000962904	0.009187459	0.000793547	0.000801637	0.001005665	0	0.001644169	0.003080627	0.003170578	0.002082216	41	Pad3	Rasp-D	Rasp	Down	T11_IMG_4100	T11	4100	3220.003459	1270.884686	93.71277851	0.772549944	-0.153326453	4336	237	37.19126594	6.267347212	27.39387909	4336	20637	0.210108058	4133	10575	121	1366	2.593682761	0.544953649	2.048729112	2.64E-05	1.329078606	0.519440367	2.656950673
