	Genotype	Full_Genotype	Plot_Cat	emmean	SE	df	lower.CL	upper.CL
1	An055	anac055	01-JA	20.46785355	3.225754255	23.94894165	13.80947278	27.12623432
2	b2b3	cyp79b2b3	05-IGSL	78.05651979	3.198609021	23.13787256	71.44187391	84.67116567
3	C1-16	coi1-16	01-JA	43.03583067	3.242506348	24.4093408	36.34956043	49.72210092
4	C71A12	cyp71A12	06-cya	25.47012349	3.230899852	24.08482724	18.80311655	32.13713043
5	C81D8	cyp81D8	03-Met	26.27028987	3.20957877	23.47245472	19.63815737	32.90242236
6	C82C2	cyp82C2	06-cya	28.29127669	3.215386158	23.66673057	21.65009706	34.93245632
7	col0	col0	07-WT	32.06367379	3.22209228	23.83343196	25.41114183	38.71620575
8	fox5	fox5	03-Met	27.18849828	3.255787536	24.83144348	20.48076963	33.89622694
9	GP1	gGP1	06-cya	36.55292297	3.210177993	23.50024662	29.91997716	43.18586878
10	Ler	Ler	07-WT	39.67743964	3.235025919	24.21386328	33.00379359	46.35108568
11	m2829	myb2829	04-AGSL	26.23497916	3.210641893	23.49801532	19.60104075	32.86891757
12	m29	myb29	04-AGSL	24.10759176	3.203012284	23.29431471	17.48628529	30.72889823
13	m3451	myb3451	05-IGSL	35.00626417	3.216586426	23.68605126	28.36289646	41.64963188
14	NPR1	npr1	02-SA	27.4560045	3.220852853	23.78573462	20.80532061	34.10668838
15	OE28	MYB28	04-AGSL	24.45394974	3.259857154	24.96436296	17.73966226	31.16823723
16	OE29	MYB29	04-AGSL	34.59377589	3.202778676	23.30127387	27.9730603	41.21449147
17	pad3	pad3	05-IGSL	57.50402329	3.206079621	23.37636865	50.87764597	64.1304006
18	pad4	pad4	02-SA	29.04900401	3.246635362	24.5529767	22.35625504	35.74175297
19	tga3	tga3	02-SA	34.45473166	3.209321331	23.47733571	27.82320581	41.08625752
20	tgg12	tgg12	04-AGSL	26.65400408	3.228901227	24.06362846	19.99081185	33.31719631
