Num_ID	Isolate	Genotype	GenotypeP	Plant	Plant_tray	Plant_position	Image	Exp_tray	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.0.s.radius.max	Lesion.red.m.cx	Lesion.red.m.cy	Lesion.red.m.majoraxis	Lesion.red.m.eccentricity	Lesion.red.m.theta	Lesion.grn.m.cx	Lesion.grn.m.cy	Lesion.grn.m.majoraxis	Lesion.grn.m.eccentricity	Lesion.grn.m.theta	Lesion.blu.m.cx	Lesion.blu.m.cy	Lesion.blu.m.majoraxis	Lesion.blu.m.eccentricity	Lesion.blu.m.theta	Lesion.redgrn.m.cx	Lesion.redgrn.m.cy	Lesion.redgrn.m.majoraxis	Lesion.redgrn.m.eccentricity	Lesion.redgrn.m.theta	Lesion.redblu.m.cx	Lesion.redblu.m.cy	Lesion.redblu.m.majoraxis	Lesion.redblu.m.eccentricity	Lesion.redblu.m.theta	Lesion.grnblu.m.cx	Lesion.grnblu.m.cy	Lesion.grnblu.m.majoraxis	Lesion.grnblu.m.eccentricity	Lesion.grnblu.m.theta	Lesion.Bred.m.cx	Lesion.Bred.m.cy	Lesion.Bred.m.majoraxis	Lesion.Bred.m.eccentricity	Lesion.Bred.m.theta	Lesion.Bgrn.m.cx	Lesion.Bgrn.m.cy	Lesion.Bgrn.m.majoraxis	Lesion.Bgrn.m.eccentricity	Lesion.Bgrn.m.theta	Lesion.Bblu.m.cx	Lesion.Bblu.m.cy	Lesion.Bblu.m.majoraxis	Lesion.Bblu.m.eccentricity	Lesion.Bblu.m.theta	Lesion.Bredgrn.m.cx	Lesion.Bredgrn.m.cy	Lesion.Bredgrn.m.majoraxis	Lesion.Bredgrn.m.eccentricity	Lesion.Bredgrn.m.theta	Lesion.Bredblu.m.cx	Lesion.Bredblu.m.cy	Lesion.Bredblu.m.majoraxis	Lesion.Bredblu.m.eccentricity	Lesion.Bredblu.m.theta	Lesion.Bgrnblu.m.cx	Lesion.Bgrnblu.m.cy	Lesion.Bgrnblu.m.majoraxis	Lesion.Bgrnblu.m.eccentricity	Lesion.Bgrnblu.m.theta	Leaf.0.m.cx	Leaf.0.m.cy	Leaf.0.m.majoraxis	Leaf.0.m.eccentricity	Leaf.0.m.theta	Leaf.0.s.area	Leaf.0.s.perimeter	Leaf.0.s.radius.mean	Leaf.0.s.radius.sd	Leaf.0.s.radius.min	Leaf.0.s.radius.max	Leaf.red.m.cx	Leaf.red.m.cy	Leaf.red.m.majoraxis	Leaf.red.m.eccentricity	Leaf.red.m.theta	Leaf.grn.m.cx	Leaf.grn.m.cy	Leaf.grn.m.majoraxis	Leaf.grn.m.eccentricity	Leaf.grn.m.theta	Leaf.blu.m.cx	Leaf.blu.m.cy	Leaf.blu.m.majoraxis	Leaf.blu.m.eccentricity	Leaf.blu.m.theta	Leaf.redgrn.m.cx	Leaf.redgrn.m.cy	Leaf.redgrn.m.majoraxis	Leaf.redgrn.m.eccentricity	Leaf.redgrn.m.theta	Leaf.redblu.m.cx	Leaf.redblu.m.cy	Leaf.redblu.m.majoraxis	Leaf.redblu.m.eccentricity	Leaf.redblu.m.theta	Leaf.grnblu.m.cx	Leaf.grnblu.m.cy	Leaf.grnblu.m.majoraxis	Leaf.grnblu.m.eccentricity	Leaf.grnblu.m.theta	Leaf.Bred.m.cx	Leaf.Bred.m.cy	Leaf.Bred.m.majoraxis	Leaf.Bred.m.eccentricity	Leaf.Bred.m.theta	Leaf.Bgrn.m.cx	Leaf.Bgrn.m.cy	Leaf.Bgrn.m.majoraxis	Leaf.Bgrn.m.eccentricity	Leaf.Bgrn.m.theta	Leaf.Bblu.m.cx	Leaf.Bblu.m.cy	Leaf.Bblu.m.majoraxis	Leaf.Bblu.m.eccentricity	Leaf.Bblu.m.theta	Leaf.Bredgrn.m.cx	Leaf.Bredgrn.m.cy	Leaf.Bredgrn.m.majoraxis	Leaf.Bredgrn.m.eccentricity	Leaf.Bredgrn.m.theta	Leaf.Bredblu.m.cx	Leaf.Bredblu.m.cy	Leaf.Bredblu.m.majoraxis	Leaf.Bredblu.m.eccentricity	Leaf.Bredblu.m.theta	Leaf.Bgrnblu.m.cx	Leaf.Bgrnblu.m.cy	Leaf.Bgrnblu.m.majoraxis	Leaf.Bgrnblu.m.eccentricity	Leaf.Bgrnblu.m.theta	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw
51	C16-01_02_17	Up	Up1	T2_D4	T2	D4	T1_IMG_6319_C.jpg	T1	1301.196319	1365.352761	25.25601701	0.748595265	-0.562145095	326	59	9.829039217	1.695470118	6.508673196	12.46446255	1301.275702	1365.309042	24.44881292	0.742759512	-0.554413747	1300.868906	1365.50187	25.23380795	0.760890901	-0.560171456	1300.755696	1366.24184	22.23273067	0.783272993	-0.44657405	1299.511537	1365.938088	18.37258738	0.79674768	-0.517487914	1301.995759	1364.590184	23.65393751	0.693203154	-0.57628415	1296.960252	1367.189388	24.41512328	0.793910962	-0.731094809	1300.291896	1365.751528	16.12000176	0.761020788	-0.689298161	1296.526532	1367.656581	0	0	1.264063509	1311.542752	1355.604035	43.57648956	0	0.695897035	1305.508579	1363.442314	30.93919999	0.596282361	-0.569334276	1304.675516	1362.743203	16.35268	0	0.977276245	1303.189949	1364.042013	24.96687476	0.522339743	-0.595831398	1324.149793	1367.782453	290.4166029	0.938343769	0.048258228	21770	698	94.96929805	35.11136754	40.99603307	157.4177502	1328.228139	1369.002718	286.4442358	0.945614913	0.039704158	1325.533593	1369.441099	285.4852172	0.942243122	0.043698563	1338.652087	1368.767473	309.6334371	0.950146574	0.015787472	1343.37827	1372.183317	248.1542806	0.964780179	0.002140643	1337.558496	1375.168602	234.2041588	0.989302866	-0.033679891	1318.658749	1372.525327	256.4630166	0.94022911	0.054744929	1329.026421	1369.22636	288.2336521	0.949619903	0.036652649	1325.927792	1369.868854	288.3245136	0.944392513	0.041541438	1345.957416	1366.908747	292.4941378	0.964273167	0.004678837	1344.732933	1371.242175	247.7337559	0.97669149	0.008304472	1344.210211	1375.281254	227.7135105	0	-0.066874505	1318.529638	1374.043325	259.9313062	0.948925008	0.048944775	326	21770	0.014974736	19562	1857	6	92
61	C16-01_02_17	Down	Down1	T2_D4	T2	D4	T1_IMG_6319_C.jpg	T1	1305.707094	1608.2746	25.1974489	0.458186275	0.790416822	437	69	11.32472356	0.926264857	8.99645196	13.32622684	1306.023494	1608.191732	25.30999917	0.479200312	0.836568393	1306.051725	1608.378583	25.7313616	0.491512426	0.739492387	1306.206722	1609.038423	25.28431081	0.515199616	0.534153153	1307.818993	1608.58656	26.58208575	0.569716947	0.890818228	1304.93563	1604.961328	23.72176058	0.476774888	-1.501841715	1305.335825	1605.246215	24.77480856	0.290037218	0.726326515	1306.823458	1608.351453	24.97663096	0.578438372	0.941373408	1307.335836	1609.311585	25.14891967	0.618985483	0.511077216	1308.696877	1612.37869	23.89351967	0	0.111480686	1291.887282	1597.695511	38.45053349	0	-0.958624358	1304.771881	1603.003651	28.90966045	0.84523241	-1.097659984	1306.109303	1602.542437	33.38167094	0.852810069	-0.832483477	1305.348648	1602.983678	330.6891029	0.97021514	-0.261788768	20525	736	99.37689306	42.27862152	38.23946552	175.8195829	1311.275492	1601.930179	318.574515	0.971170752	-0.266373889	1309.329464	1602.181909	323.5725732	0.971315895	-0.2650665	1327.385263	1597.066267	313.8844544	0.969644839	-0.258192239	1329.519338	1597.53181	276.792893	0.974060573	-0.279280031	1272.640005	1615.949552	223.0273814	0.933642218	-0.347755265	1262.718583	1615.852942	248.7569541	0.939514833	-0.307181414	1311.850858	1602.09228	318.8535556	0.972519172	-0.267057242	1309.384251	1602.473318	326.376025	0.972142585	-0.26567145	1336.405194	1593.672254	272.4325834	0.969375102	-0.246534844	1330.285496	1597.501719	277.1785374	0.981310676	-0.279026888	1278.311452	1615.148187	234.9397792	0.951113226	-0.339024625	1264.755681	1616.457085	268.2802865	0.950133193	-0.298732805	437	20525	0.021291108	13186	6893	0	116
67	C16-01_02_17	Up	Up2	T3_D3	T3	D3	T1_IMG_6319_C.jpg	T1	1297.186957	1802.269565	27.89630456	0.64722564	0.213160289	460	71	11.66825961	1.418590878	9.11320938	14.4970087	1297.137582	1802.354973	27.48117172	0.64017481	0.2840167	1296.784675	1802.169383	27.97277748	0.642505365	0.290069086	1296.62146	1801.372506	26.80490622	0.645563093	0.47845193	1295.225594	1800.298746	26.83774353	0.735487268	0.847136093	1305.120866	1819.702343	40.53995414	0	-0.413891771	1275.313252	1680.378761	0	0	-0.164815163	1296.629332	1802.417537	25.31367156	0.651803991	0.785054351	1295.583207	1801.897673	25.76845865	0.730374075	0.996200652	1295.572376	1798.906794	24.62453337	0.938202029	1.116061884	1286.159529	1789.691151	0	0	-1.284619422	1290.891632	1783.281425	0	0	-0.224099855	1295.475885	1793.527156	21.74862886	0	0.472268179	1322.388496	1797.369947	335.0241209	0.957855563	-0.008096761	23452	796	106.3073522	44.75357762	43.95620639	187.6112798	1327.436328	1798.500106	337.3463413	0.963083395	-0.008789527	1323.664403	1798.44687	334.4670071	0.961326976	-0.01041394	1326.783561	1799.187932	345.2243186	0.962227323	-0.011450132	1350.469052	1801.518186	342.9014384	0.98293271	-0.020181869	1357.020824	1804.735822	322.5211758	0.98827805	-0.051708351	1325.921863	1799.55295	329.4526473	0.965267561	-0.017713528	1329.493499	1799.167725	340.3612659	0.964971267	-0.009676413	1325.399422	1799.138552	339.7442935	0.962948329	-0.010938991	1321.004609	1797.207622	282.1345795	0.957750234	-0.013847405	1356.040256	1801.76227	351.7246978	0.988609839	-0.020164769	1369.857911	1806.081894	318.2844879	0	-0.066403856	1329.148423	1801.260688	344.7473935	0.970733593	-0.01938547	460	23452	0.019614532	21643	1349	65	161
77	C16-01_02_17	Down	Down2	T3_D3	T3	D3	T1_IMG_6319_C.jpg	T1	1314.301724	2012.62931	28.14165241	0.659900665	-0.009309718	464	70	11.72040206	1.388117234	9.064350444	14.39512389	1314.819106	2012.47205	28.2049916	0.663289528	-0.028217054	1314.65573	2012.231753	29.04057498	0.684076623	-0.082440258	1315.30594	2011.709417	28.9413883	0.68276835	-0.227826094	1317.132331	2010.698993	29.49812792	0.727517187	-0.168980961	1311.752767	2016.244114	30.24970859	0	0.586843336	1306.606792	2018.706788	35.26159722	0	0.698900273	1316.210581	2011.551274	27.2692227	0.660276095	-0.098351551	1316.239226	2010.531242	29.97294562	0.784999081	-0.243357439	1317.802075	2006.416602	27.99685737	0	-0.25387025	1335.872259	1994.096318	0	0	0.840944801	1302.252729	2041.725163	46.63860922	0	0.480815413	1337.995885	1973.841149	0	0	0.514014504	1324.188953	2027.439411	262.9857131	0.946018	-0.079260137	16909	619	85.04988813	32.21637683	41.82730025	144.1833656	1322.760307	2027.587143	258.0251086	0.948563723	-0.076192159	1323.690796	2027.357938	258.8609562	0.94839458	-0.076439666	1327.54336	2026.074953	255.2880511	0.943870993	-0.062028679	1321.286115	2027.318414	246.037933	0.956989204	-0.06379385	1313.851792	2029.822867	269.5277735	0.955767522	-0.090459176	1317.2516	2028.934903	273.5113261	0.955074569	-0.092219749	1322.813082	2027.998234	260.1537962	0.950426607	-0.076467456	1324.00318	2027.519138	262.0559995	0.94989391	-0.077708459	1324.282607	2025.575926	229.9099458	0.939134825	-0.037721323	1321.599341	2027.217249	248.2858693	0.966187046	-0.064122411	1315.300728	2029.993275	275.5192652	0.963255385	-0.093305077	1319.038801	2029.042889	280.7476887	0.961209078	-0.097013408	464	16909	0.027441008	6936	9467	13	149
52	C18-01_02_20	Up	Up1	T2_D4	T2	D4	T1_IMG_6319_C.jpg	T1	2150.682303	1413.590618	25.27002275	0.281126772	-0.718184903	469	70	11.80576535	1.030863773	9.153676634	13.76604815	2151.046583	1413.27867	25.09411936	0.361667114	-0.300872476	2151.346611	1413.192931	25.47805185	0.363087564	-0.274961807	2153.129461	1414.020839	25.71273465	0.673753438	-0.313022671	2153.932058	1412.434692	23.24994681	0.593640811	0.019975689	2143.671403	1409.160096	27.78682788	0	-1.272475642	2140.838248	1404.134454	29.50963354	0	-1.045420067	2152.251168	1412.365885	23.76622263	0.685651866	-0.010338847	2153.560772	1411.77056	23.55873458	0.760337116	0.137772032	2160.628566	1414.608764	0	0	-0.759203998	2186.929511	1401.441473	0	0	1.212848858	2052.601882	1357.34439	43.134252	0	-1.071330191	2163.046329	1423.354726	24.15968165	0	-0.746994993	2163.763772	1415.57976	299.7168623	0.933429531	-0.235445484	22292	722	100.1973157	39.61640102	34.09758573	176.4451291	2167.732603	1415.744293	291.6974478	0.937025305	-0.248958685	2164.545203	1416.948955	290.9690822	0.934576038	-0.242021289	2174.882399	1412.454308	312.0946585	0.943580163	-0.25424815	2176.926328	1417.149998	234.1895076	0.945654662	-0.258192809	2189.056557	1419.820084	219.8802953	0	-0.498702926	2158.999709	1422.722925	261.4073043	0.926705524	-0.252719482	2169.045971	1415.77177	292.7755181	0.939202771	-0.257075364	2165.474617	1417.107112	294.1605764	0.936058493	-0.249091803	2176.266362	1411.639195	276.6964608	0.948667516	-0.220042013	2179.060994	1415.065956	234.8912386	0.959498121	-0.269561649	2205.179081	1416.766005	191.0702561	0	-0.717546077	2160.892307	1423.277539	270.1461303	0.935905805	-0.283388177	469	22292	0.021038938	21369	454	37	272
56	C18-01_02_20	Down	Down1	T2_D4	T2	D4	T1_IMG_6319_C.jpg	T1	2176.625344	1576.506887	25.03694566	0.640455717	0.291742731	363	63	10.36113114	1.515668609	7.380832906	12.78952433	2176.871189	1576.201761	25.09807071	0.631241008	0.292569301	2176.67371	1576.539651	24.96953529	0.594723795	0.281932191	2177.592047	1575.942268	24.71612698	0.549973883	0.300835803	2177.849569	1575.249274	24.6777938	0.378969571	0.289621028	2176.377974	1576.153135	25.50681356	0.715885899	0.365335769	2175.718935	1577.506422	25.18445153	0.612131286	0.386516322	2177.508332	1576.313221	25.69349196	0.60785098	0.399995863	2177.08698	1577.299276	24.31099122	0.291435398	0.496474617	2180.874963	1576.491427	28.16200453	0.787210279	-1.468024612	2188.548533	1582.117268	50.98598352	0	-1.235482626	2176.42043	1576.455414	28.33727626	0.90293011	0.487956604	2174.673328	1580.649185	27.30570166	0.809856572	0.64440768	2188.309444	1556.744948	313.6469845	0.966222376	-0.014771791	19102	693	92.70663367	39.62542424	35.33341375	163.0321321	2189.43121	1556.906574	314.7332622	0.97090839	-0.010252694	2189.550909	1556.596451	314.1090776	0.969797277	-0.009658424	2196.913815	1554.514472	333.8298115	0.97329365	0.001436929	2195.304982	1555.479484	318.9501665	0.983111598	0.008116637	2174.071536	1561.654629	257.9310474	0.966094821	-0.017786025	2175.88493	1559.802926	261.0535907	0.957014489	-0.022348344	2190.602361	1557.103947	318.1219932	0.973194441	-0.009298531	2190.599862	1556.853299	317.8124272	0.9713128	-0.009167604	2200.223794	1551.225521	327.3965384	0.983399997	0.023051563	2198.125987	1555.850492	325.3366502	0.988905075	0.009008289	2174.416411	1562.360525	261.1376312	0.975963259	-0.014815918	2175.098367	1561.767645	264.5985756	0.959584907	-0.024882428	363	19102	0.019003246	11691	7044	59	142
69	C18-01_02_20	Up	Up2	T3_D3	T3	D3	T1_IMG_6319_C.jpg	T1	2184.018519	1812.459877	21.04205739	0.350859677	0.113536183	324	58	9.685235024	0.52099003	8.514326599	10.63876932	2184.409848	1812.403829	20.47944366	0.307438133	0.156268771	2184.286872	1812.335424	20.80968914	0.33853092	0.052358847	2185.567066	1812.361265	19.54939783	0.327459444	0.595990388	2186.122318	1812.053515	17.94548331	0.439246029	1.284485622	2182.953406	1811.851791	22.55317976	0.474443983	-1.03729262	2182.291641	1811.432881	23.97933868	0.568703146	-0.775145851	2184.878809	1811.859319	18.86085791	0.504110321	1.481801623	2184.733546	1811.182252	17.07547709	0.321287059	-0.51442173	2194.798793	1806.9027	0	0	1.09560532	2223.287349	1742.804645	0	0	0.544265739	2184.173467	1812.470204	28.09366437	0.626182806	-1.184377056	2183.152999	1810.10556	38.46839591	0.830446799	-0.618879795	2205.875795	1794.51224	290.5071981	0.956806927	0.041112493	17769	683	91.75397597	38.81548388	34.80562319	159.7911139	2212.272226	1795.42679	290.467244	0.961138624	0.028792206	2208.460076	1795.352023	287.9438436	0.959471045	0.033800954	2218.431915	1794.839183	305.6779048	0.964566521	0.019715563	2239.08341	1798.071732	281.5662346	0.978442968	-0.027911476	2240.339753	1801.169759	190.1595169	0.992492307	-0.19934548	2202.374281	1796.62785	254.8474284	0.950926657	0.039750275	2214.69677	1795.614744	292.8813793	0.964101499	0.026282917	2210.242465	1795.679321	291.973959	0.961448207	0.030852914	2221.450074	1792.161798	282.0749997	0.976472708	0.027367957	2246.011954	1797.564717	288.7610617	0.988766388	-0.026064072	2261.785073	1799.869818	112.4549211	0	-0.514463664	2204.595995	1798.40555	264.1837299	0.957015328	0.027041755	324	17769	0.018234003	16228	1217	9	256
74	C18-01_02_20	Down	Down2	T3_D3	T3	D3	T1_IMG_6319_C.jpg	T1	2202.809896	1975.440104	24.45704667	0.567992559	-0.106579138	384	62	10.6219522	0.95125221	8.680431783	12.35215376	2202.780309	1975.315908	24.02350576	0.574470289	-0.06457269	2202.572416	1975.12586	24.47451255	0.591945987	-0.096063087	2201.678276	1974.540395	23.72369572	0.713543149	0.215776105	2201.72725	1973.979448	22.7181762	0.692937958	0.040411303	2204.675295	1976.47121	26.19136478	0.738573097	-0.701967317	2204.551337	1975.667772	29.36855318	0.818571355	-0.664121316	2202.319517	1975.050662	21.37938915	0.655155967	0.1060705	2201.283227	1973.920907	21.69691211	0.795695132	-0.103320853	2183.354059	1967.643037	0	0	-1.339678413	2165.557702	1945.117566	0	0	-0.878689735	2208.666549	1977.589472	34.69926728	0	-1.000452016	2225.715404	1969.876579	40.05098455	0	-1.33155478	2210.009081	1987.985891	200.3575811	0.904393746	-0.363249593	13325	459	68.52526596	19.7063375	39.34527397	102.4166298	2210.750774	1987.768617	196.5634899	0.908759732	-0.367083397	2210.659072	1987.651086	197.8390789	0.908518347	-0.365309847	2210.172123	1987.604275	197.4437191	0.900674395	-0.349388585	2214.157005	1986.066995	185.5905744	0.922791142	-0.37327118	2213.685329	1987.369023	200.5510395	0.926253265	-0.388059277	2213.183772	1987.145269	204.9189563	0.922216708	-0.380041659	2210.948454	1987.837954	197.1553939	0.910828374	-0.372187924	2210.840903	1987.494	199.0757481	0.909186315	-0.368698818	2210.920751	1986.76369	184.6688471	0.90804603	-0.327937629	2214.456502	1986.258835	184.5137086	0.937142153	-0.378054308	2214.301579	1987.800832	198.7662944	0.93665969	-0.398399475	2212.791548	1987.31963	205.8059238	0.926363217	-0.389525561	384	13325	0.028818011	9202	3729	10	179
7	C20-01_03_04	Up	Up1	T3_D2	T3	D2	T1_IMG_6319_C.jpg	T1	3075.126838	192.3768382	30.11447365	0.630667428	-0.07761118	544	76	12.71831265	1.554769191	8.792093054	15.12877548	3074.998859	192.391746	30.04655655	0.633583307	-0.0633856	3074.907388	192.4391153	30.79421948	0.642874186	-0.082017424	3075.236187	192.6211461	30.88924576	0.623990291	-0.109087254	3066.86344	194.2443475	32.21014255	0.689727178	0.597616769	3073.945576	192.3130221	28.62728174	0.665411137	0.052111155	3067.022912	194.6325924	37.71889305	0.652639573	0.166323933	3074.404636	192.7280909	29.67518415	0.642649136	-0.012766282	3074.019991	192.5444197	31.28164739	0.642498207	-0.082920056	3072.788405	193.8425058	30.73527769	0.507887037	-0.017733615	3086.889802	188.8441928	16.13588157	0	1.404748143	3068.349142	195.4548642	19.55798082	0	0.821487013	3081.717795	191.4661322	17.92699112	0	1.363095967	3088.436699	204.0995847	290.3901828	0.933413619	0.076535577	22393	734	97.70076027	36.41345972	48.26253848	166.1148863	3089.708834	203.4452508	295.9197141	0.94346003	0.089532349	3087.302638	204.9496626	289.9935218	0.938396027	0.07754218	3101.880828	207.881461	323.852845	0.950494813	0.058469225	3119.4816	186.315922	366.6772766	0.979420422	0.203507923	3065.378184	222.1218513	221.056691	0	-1.110566754	3073.586073	210.9140832	280.8074798	0.982816121	0.12588019	3091.167214	203.3412953	301.5194103	0.947306388	0.08992284	3088.343341	205.2667142	295.3619783	0.940535401	0.075831825	3106.594073	207.2889824	318.6954346	0.960006982	0.065385396	3178.933135	140.7732414	414.621188	0	0.5181296	3047.941363	229.4544397	200.2088352	0	-1.293845095	3077.884987	210.4731082	302.1336931	0.992840046	0.122905693	544	22393	0.024293306	18219	3454	25	385
17	C20-01_03_04	Down	Down2	T1_C4	T1	C4	T1_IMG_6319_C.jpg	T1	2983.548747	911.4651811	25.33030009	0.693540728	0.053150852	359	60	10.33158023	1.394574791	7.810054062	12.72518282	2983.619942	911.4340218	25.84921994	0.702324774	0.049176867	2983.556368	911.2535335	26.19776457	0.700761721	0.050961763	2983.559434	910.3124103	25.80627581	0.708717358	0.021074807	2983.687469	910.5092114	30.09937565	0.744366713	0.024042155	2983.783051	913.3269117	26.36523813	0.788699544	0.087329924	2983.729293	912.7663252	30.75954407	0.795834831	0.1388777	2983.598831	911.0945839	27.30634886	0.72041329	0.049487205	2983.509153	910.0301717	29.05239269	0.753420996	0.028007466	2983.105758	907.0200177	28.43592198	0.95237883	-0.102974036	2984.630715	920.6483397	0	0	-0.117280846	2984.769267	916.4145575	27.01368424	0	0.086656567	2974.128825	910.809506	11.46066142	0	-1.260364875	2982.998268	919.0923669	218.3109429	0.905678293	-0.046628281	15590	548	75.80348696	23.20623748	41.63210978	118.6404696	2983.396187	919.0710914	213.4228022	0.911399418	-0.041960947	2982.574475	919.1043049	214.432019	0.910219726	-0.039860714	2984.790983	916.7681486	220.4581463	0.910280385	-0.020525694	2985.280281	918.0459498	203.1012767	0.930652005	-0.015164059	2982.43523	921.2657209	203.2961172	0.916468279	-0.061603289	2979.766005	921.3734494	207.1181877	0.910735684	-0.052887409	2983.890478	919.3024123	215.6954135	0.915309729	-0.046268316	2982.933861	919.3919433	217.5265585	0.913828404	-0.044175785	2984.21363	915.1221595	211.3298252	0.913723168	0.003585751	2987.26023	917.4334813	204.3365984	0.948497408	-0.02032027	2984.084606	920.975696	204.5271273	0.931559852	-0.068749046	2980.139116	921.7860066	209.9413428	0.922691873	-0.065256655	359	15590	0.023027582	4118	11037	0	46
