Phylum	Family	Species_full	species_plot	_stom_adaxial	stom_abaxial	Stom_Diff
Core_Eudicot	Caryophyllales	Spinacia_oleracea	02_Spi	16.77777778	34.88888889	0.701075269
Core_Eudicot	Caryophyllales	Beta_vulgaris	01_Char	13.55555556	42.66666667	1.035573123
Asterids	Lamiales	Ocimum_basilicum	06_Bas	12.11111111	15.77777778	0.262948207
Asterids	Lamiales	Mentha_spicata	07_Min	0	33.11111111	2
Asterids	Solanales	Solanum_lycopersicum	09_Tom	4.333333333	27.77777778	1.460207612
Asterids	Solanales	Solanum_melongena	08_Egg	6.833333333	15.33333333	0.766917293
Asterids	Solanales	Capsicum_annuum	10_Pep	22.6	62	0.93144208
Asterids	Asterales	Lactuca_sativa	05_Lac	7	16.66666667	0.816901408
Asterids	Asterales	Cichorium_intybus	04_Cin	9.666666667	22.5	0.797927461
Asterids	Apiales	Petroselinum_crispum	03_Par	0.428571429	17.44444444	1.904085258
Rosids	Cucurbitales	Cucumis_sativus	14_Cuc	39.5	74.75	0.617067834
Rosids	Fabales	Phaseolus_vulgaris	16_Pha	0.222222222	39.11111111	1.97740113
Rosids	Fabales	Vigna_unguicula	15_Cp	20.25	25.75	0.239130435
Rosids	Brassicales	Brassica_oleacera	11_Kale	13.33333333	40.66666667	1.012345679
Rosids	Brassicales	Raphanus_sativus	12_Rap	27	47.33333333	0.547085202
Rosids	Brassicales	Arabidopsis_thaliana	13_Ara	17.44444444	21.88888889	0.225988701
